model,start_id,start_model,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_log_futures,estimate_model,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_log_futures,estimate_kappa_gap,comparison_log_likelihood,converged,iterations,message
constant_log_futures,1,constant_log_futures,0.15,4.0,0.07346318512444228,0.09300523175532073,0.27901569526596226,0.005209216047392955,constant_log_futures,0.5942902276016513,15.382365865210051,0.03670377995780656,0.04846709714372198,1.1710610181821417,0.000901460391437842,14.7880756376084,6106.936055462936,True,28,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,11,constant_log_futures,3.6313873516459405,6.903432857363258,0.050248178635952344,0.28197552571605855,0.5985485352860016,0.0026341249921687866,constant_log_futures,0.5942831803838929,15.382324315975755,0.03670342389857173,0.04846682392048196,1.171058620569733,0.0009014590955171342,14.788041135591861,6106.936055462002,True,32,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,2,constant_log_futures,0.3499999999999999,7.999999999999999,0.07346318512444228,0.130207324457449,0.372020927021283,0.005209216047392955,constant_log_futures,0.5942967222872592,15.382351633183617,0.03670426880516903,0.04846713401338178,1.1710594190750332,0.0009014601023923603,14.788054910896358,6106.936055460055,True,20,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,8,constant_log_futures,0.3827375932483699,1.5424571156535538,0.06232039983455277,0.9326577749651668,0.25251770283817665,0.0030878367817133946,constant_log_futures,0.594295855445595,15.382337191163185,0.036704222804849904,0.04846720292812782,1.1710596847581969,0.0009014606960982228,14.78804133571759,6106.936055459632,True,32,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,5,constant_log_futures,3.0000000000000004,25.000000000000004,0.07346318512444228,0.2976167416170264,0.6510366222872452,0.005209216047392955,constant_log_futures,0.5942982452467349,15.382356588416856,0.03670427808560141,0.04846722784615901,1.1710615112223823,0.0009014601433915107,14.788058343170121,6106.936055456547,True,36,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,4,constant_log_futures,1.5,18.0,0.07346318512444228,0.24181360256383397,0.5580313905319245,0.005209216047392955,constant_log_futures,0.5942824525525764,15.382358857042028,0.03670315562975876,0.04846660461782253,1.1710579586265817,0.000901460639185998,14.788076404489452,6106.9360554542245,True,39,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,0,constant_log_futures,0.23459407938754437,18.68651798897348,0.04745610237937426,0.04673939030065767,1.5150109497656,0.0008236044729618963,constant_log_futures,0.5942879920926152,15.382275740901617,0.03670357915615443,0.04846675192879452,1.171050751900239,0.0009014607663301486,14.787987748809002,6106.936055451287,True,22,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,3,constant_log_futures,0.75,12.000000000000002,0.07346318512444228,0.18601046351064146,0.4650261587766037,0.005209216047392955,constant_log_futures,0.5942881650716847,15.382370655772283,0.036704012171667175,0.04846701387823076,1.1710653014938934,0.000901461916355786,14.788082490700598,6106.93605544813,True,31,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,10,constant_log_futures,2.0683765532731546,9.793361060849696,0.02570359527681778,0.06644451513539515,0.5653251876239721,0.003909141603703535,constant_log_futures,2.0683765532731546,9.793361060849696,0.02570359527681778,0.06644451513539515,0.5653251876239721,0.003909141603703535,7.724984507576542,4844.331980581962,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,9,constant_log_futures,1.6719627151010144,32.64543130974995,0.09270063516327524,0.13766465435512978,0.2169801481466432,0.005062752014572736,constant_log_futures,1.6719627151010144,32.64543130974995,0.09270063516327524,0.13766465435512978,0.2169801481466432,0.005062752014572736,30.97346859464894,4450.728854093803,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,6,constant_log_futures,4.999999999999999,35.0,0.07346318512444228,0.372020927021283,0.744041854042566,0.005209216047392955,constant_log_futures,4.999999999999999,35.0,0.07346318512444228,0.372020927021283,0.744041854042566,0.005209216047392955,30.0,4441.834383176887,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,7,constant_log_futures,1.2776977012389195,41.252021781482064,0.09158596481731926,0.04966506708612837,0.5550549001325868,0.005439435100025912,constant_log_futures,1.2776977012389195,41.252021781482064,0.09158596481731926,0.04966506708612837,0.5550549001325868,0.005439435100025912,39.97432408024314,4362.717688000549,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
