model,start_id,start_model,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_carry,estimate_model,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_carry,estimate_kappa_gap,comparison_log_likelihood,converged,iterations,message
constant_carry,8,constant_carry,0.3827375932483699,1.5424571156535538,0.06702627928145867,0.9879243958730112,0.26748117661160703,0.016199734596212795,constant_carry,1.5625273673311115,42.45048273395933,0.07365070001437898,0.08221038995602326,2.8109330873960245,0.005512026921321275,40.88795536662822,7030.101034115318,True,25,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,1,constant_carry,0.15,4.0,0.07816906457134817,0.0985164546538373,0.29554936396151194,0.027329137965405325,constant_carry,1.56252619923267,42.45050388476514,0.07365071113835293,0.08221045153646134,2.8109349536407993,0.005512028636185357,40.88797768553247,7030.101034114648,True,27,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,2,constant_carry,0.3499999999999999,7.999999999999999,0.07816906457134817,0.1379230365153722,0.3940658186153492,0.027329137965405325,constant_carry,1.5625254338224133,42.450440209520906,0.07365068477843524,0.08221040030890743,2.810930194785367,0.005512023856948433,40.88791477569849,7030.101034114334,True,28,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,3,constant_carry,0.75,12.000000000000002,0.07816906457134817,0.19703290930767461,0.49258227326918647,0.027329137965405325,constant_carry,1.5625243607445929,42.45040148162796,0.07365070349449741,0.08221009991732663,2.810928869005603,0.005512022952860345,40.88787712088337,7030.101034112162,True,38,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,4,constant_carry,1.5,18.0,0.07816906457134817,0.256142782099977,0.5910987279230238,0.027329137965405325,constant_carry,1.5625308207634252,42.4505102824222,0.07365070347765489,0.08221081026395682,2.8109332992707405,0.005512029118348833,40.88797946165877,7030.101034111288,True,37,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,11,constant_carry,3.6313873516459405,6.903432857363258,0.05495405808285824,0.2986845854626752,0.6340168022994112,0.01381942401201249,constant_carry,1.5625367824496508,42.45063953291176,0.07365079665561049,0.08221077933624052,2.810942243495856,0.005512027052722565,40.88810275046211,7030.101034104224,True,43,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,0,constant_carry,1.5849767875290535,38.964250103343495,0.06844548280432716,0.08261835358915344,2.4874342449957316,0.005450172342710438,constant_carry,1.5625414110900844,42.451074752511595,0.07365071742671105,0.08220953451754995,2.810985981032535,0.005512009808167682,40.88853334142151,7030.101033963499,True,31,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,10,constant_carry,2.0683765532731546,9.793361060849696,0.030409474723723677,0.07038182625632644,0.5988247344810569,0.020508550469390974,constant_carry,2.0683765532731546,9.793361060849696,0.030409474723723677,0.07038182625632644,0.5988247344810569,0.020508550469390974,7.724984507576542,5533.175662105579,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,6,constant_carry,4.999999999999999,35.0,0.07816906457134817,0.3940658186153492,0.7881316372306983,0.027329137965405325,constant_carry,4.999999999999999,35.0,0.07816906457134817,0.3940658186153492,0.7881316372306983,0.027329137965405325,30.0,5267.3749507468965,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,5,constant_carry,3.0000000000000004,25.000000000000004,0.07816906457134817,0.31525265489227944,0.689615182576861,0.027329137965405325,constant_carry,3.0000000000000004,25.000000000000004,0.07816906457134817,0.31525265489227944,0.689615182576861,0.027329137965405325,22.000000000000004,5261.812431590069,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,7,constant_carry,1.2776977012389195,41.252021781482064,0.09629184426422516,0.052608076310615044,0.5879458592518788,0.028536937410548295,constant_carry,1.2776977012389195,41.252021781482064,0.09629184426422516,0.052608076310615044,0.5879458592518788,0.028536937410548295,39.97432408024314,5017.567415204837,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,9,constant_carry,1.6719627151010144,32.64543130974995,0.09740651461018114,0.14582226636339138,0.22983776850218715,0.026560742927937694,constant_carry,1.6719627151010144,32.64543130974995,0.09740651461018114,0.14582226636339138,0.22983776850218715,0.026560742927937694,30.97346859464894,4875.295946837579,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
