cohort,scenario,date,elapsed_sessions,cash,equity,discounted_equity,discounted_pnl_change,contracts_1,contracts_2,spot_units
2024-08-19,short_no_hedge,2024-08-19,0,20.0854284212312,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-08-20,1,20.086580896908043,-0.288134470626666,-0.28811793879525266,-0.28811793879525266,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-08-21,2,20.087733438712437,4.933623052658296,4.93305693167621,5.2211748704714624,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-08-22,3,20.088886046648177,7.007007840893474,7.005801820392817,2.072744888716607,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-08-23,4,20.090038720719058,7.745795145187957,7.744017625697461,0.7382158053046446,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-08-26,5,20.091191460928872,7.5532942099743074,7.551127592107721,-0.1928900335897401,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-08-27,6,20.092344267281415,9.083570240858016,9.080443648334198,1.5293160562264765,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-08-28,7,20.09349713978048,9.244568108360678,9.240855871627716,0.1604122232935179,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-08-29,8,20.09465007842987,11.246670940867517,11.241509719167311,2.0006538475395956,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-08-30,9,20.09580308323337,13.163956647478258,13.157160621449187,1.9156509022818753,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-09-02,10,20.096956154194785,11.929093911105221,11.922251312253456,-1.2349093091957304,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-09-03,11,20.098109291317908,9.74436959353621,9.738221399041825,-2.1840299132116314,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-09-04,12,20.09926249460653,12.680510766494116,12.671782928026046,2.933561528984221,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-09-05,13,20.100415764064454,14.592608226376797,14.581727634408594,1.9099447063825483,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-09-06,14,20.101569099695475,14.396415497284671,14.384855806972576,-0.19687182743601817,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-09-09,15,20.10272250150339,13.497840481531497,13.486228485356786,-0.8986273216157894,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-09-10,16,20.103875969491995,14.709919249538245,14.696421258122063,1.2101927727652768,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-09-11,17,20.10502950366509,15.499915493869924,15.484804094940708,0.788382836818645,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-09-12,18,20.10618310402647,17.706612212829892,17.688334496072084,2.203530401131376,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-09-13,19,20.107336770579934,18.954142650136852,18.93349078641553,1.245156290343445,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-09-18,20,20.10849050332928,19.41071733082002,19.388455512778943,0.45496472636341423,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-09-19,21,20.1096443022783,20.1096443022783,20.085428421231207,0.6969729084522633,0.0,0.0,0.0
2024-08-19,short_no_hedge,2024-09-20,22,20.110798167430804,20.110798167430804,20.085428421231207,0.0,0.0,0.0,0.0
2024-08-19,short_one_futures_spot,2024-08-19,0,20.0854284212312,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-19,short_one_futures_spot,2024-08-20,1,-1553.2885720099653,-0.28813447062659137,-0.28811793879517805,-0.28811793879517805,-0.3422723449841341,0.0,0.3435839055251351
2024-08-19,short_one_futures_spot,2024-08-21,2,-1734.624181096554,-0.6874144135311564,-0.6873355344358678,-0.39921759564068976,-0.3836572571251821,0.0,0.384562302687152
2024-08-19,short_one_futures_spot,2024-08-22,3,-1322.7436880233063,-1.6911664869487435,-1.6908754095731222,-1.0035398751372544,-0.2953868300874771,0.0,0.2970129605584956
2024-08-19,short_one_futures_spot,2024-08-23,4,-1210.8469551633807,-0.5200950311267487,-0.5199756787507293,1.170899730822393,-0.2701949195665665,0.0,0.2719861046691388
2024-08-19,short_one_futures_spot,2024-08-26,5,-1248.8888094770973,0.15309076797890242,0.1530468547956089,0.6730225335463381,-0.2780625092280237,0.0,0.2795501239440046
2024-08-19,short_one_futures_spot,2024-08-27,6,-1350.7953690703112,-0.19620842963621854,-0.19614089409755434,-0.34918774889316323,-0.3041336481526226,0.0,0.3053151649147693
2024-08-19,short_one_futures_spot,2024-08-28,7,-1303.6580850485805,0.7718363469096481,0.7715264093111309,0.9676673034086852,-0.292889112995601,0.0,0.2942096275462549
2024-08-19,short_one_futures_spot,2024-08-29,8,-1445.4835594065844,1.2447356728637082,1.2441644498947442,0.47263804058361325,-0.319465056723221,0.0,0.3204376026352681
2024-08-19,short_one_futures_spot,2024-08-30,9,-1280.832705101341,1.007927519186417,1.0074071663898192,-0.23675728350492498,-0.2773654539699338,0.0,0.278393474431727
2024-08-19,short_one_futures_spot,2024-09-02,10,-1082.0124328280363,1.9828577584357507,1.981720379492958,0.9743132131031389,-0.2398956107520336,0.0,0.2409618396915535
2024-08-19,short_one_futures_spot,2024-09-03,11,-1445.7123280444416,1.7162555107409432,1.7151726420565396,-0.26654773743641846,-0.3182078103327742,0.0,0.3188223426909265
2024-08-19,short_one_futures_spot,2024-09-04,12,-2081.95705942516,1.2370470636352424,1.2361956194664998,-0.4789770225900398,-0.4596460638198167,0.0,0.4593976092434703
2024-08-19,short_one_futures_spot,2024-09-05,13,-1685.0025663855329,0.7264099642260327,0.7258683358687323,-0.5103272835977675,-0.3682686091719898,0.0,0.3687197587779854
2024-08-19,short_one_futures_spot,2024-09-06,14,-1467.4467620762473,0.9298261731814259,0.9290795635404298,0.20321122767169741,-0.3264569757268554,0.0,0.3269758632109644
2024-08-19,short_one_futures_spot,2024-09-09,15,-1764.2540593920794,2.2480823854107426,2.246148392777214,1.3170688292367845,-0.395880837842053,0.0,0.3961779345555929
2024-08-19,short_one_futures_spot,2024-09-10,16,-2298.1183342258737,1.7160745601134826,1.7144998703215812,-0.5316485224556329,-0.5142990502308042,0.0,0.5136912144788057
2024-08-19,short_one_futures_spot,2024-09-11,17,-2216.027423635247,0.9499138628730668,0.9489877592865056,-0.7655121110350757,-0.4955663230251426,0.0,0.4952249186209285
2024-08-19,short_one_futures_spot,2024-09-12,18,-2417.039875462921,-2.349139083581082,-2.346714175965876,-3.2957019352523815,-0.5412135836179708,0.0,0.5408880677144488
2024-08-19,short_one_futures_spot,2024-09-13,19,-1770.0518801013393,-3.364946370632956,-3.361280026279714,-1.0145658503138377,-0.4000751167122508,0.0,0.4005812869137767
2024-08-19,short_one_futures_spot,2024-09-18,20,-1410.6878619376175,-3.919971719229651,-3.915475971048253,-0.5541959447685394,-0.3194187938230421,0.0,0.319941602900139
2024-08-19,short_one_futures_spot,2024-09-19,21,-1293.3266421374153,-3.022665838373541,-3.0190259671114283,0.8964500039368248,-0.2873262823546038,0.0,0.2878680974056795
2024-08-19,short_one_futures_spot,2024-09-20,22,2.8350690127608686,2.8350690127608686,2.831492576822659,5.850518543934087,0.0,0.0,0.0
2024-08-19,short_two_futures_spot,2024-08-19,0,20.0854284212312,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-19,short_two_futures_spot,2024-08-20,1,-1518.6035888223216,-0.28813447062659137,-0.28811793879517805,-0.28811793879517805,-0.3131566408093559,-0.0224061121985666,0.3360096140634537
2024-08-19,short_two_futures_spot,2024-08-21,2,-1700.7363792958365,-0.6361053334774862,-0.636032341971598,-0.3479144031764199,-0.3566487870904354,-0.0203660257625396,0.377122872451646
2024-08-19,short_two_futures_spot,2024-08-22,3,-1290.3734253925772,-1.4811963211995884,-1.4809413831191085,-0.8449090411475105,-0.2709465929627404,-0.0179917080932382,0.2898532443565169
2024-08-19,short_two_futures_spot,2024-08-23,4,-1179.6343259812495,-0.46928696133784875,-0.46917926849227537,1.0117621146268332,-0.2479135982028846,-0.0160082416133902,0.2650540832015176
2024-08-19,short_two_futures_spot,2024-08-26,5,-1218.4069609330854,0.13149603723010017,0.13145831836787555,0.6006375868601509,-0.2575722560216899,-0.0142878248947799,0.2727909467876305
2024-08-19,short_two_futures_spot,2024-08-27,6,-1320.6388050866808,-0.10788627860137368,-0.10784914381591451,-0.23930746218379007,-0.2848574410787705,-0.0130246836063505,0.2985729229080344
2024-08-19,short_two_futures_spot,2024-08-28,7,-1274.64493490192,0.8412177960877294,0.8408799977648164,0.9487291415807309,-0.2754739163247394,-0.0113875983574328,0.2877353081230335
2024-08-19,short_two_futures_spot,2024-08-29,8,-1416.6563530511412,1.2768004071228738,1.276214469292673,0.43533447152785654,-0.3033958094824897,-0.0101205149361942,0.3140985008567655
2024-08-19,short_two_futures_spot,2024-08-30,9,-1253.451949884564,1.0296417136804692,1.0291101507109017,-0.24710431858177118,-0.2632777475927457,-0.0084978270024727,0.2724835263135838
2024-08-19,short_two_futures_spot,2024-09-02,10,-1057.984884340346,2.0162753128297144,2.01511876537999,0.9860086146690881,-0.2280360750414586,-0.0068207301876322,0.2356680610866738
2024-08-19,short_two_futures_spot,2024-09-03,11,-1420.1799186280332,1.7465402371033676,1.7454382603190406,-0.2696805050609492,-0.3064271049986781,-0.0064426443533419,0.3132449344540551
2024-08-19,short_two_futures_spot,2024-09-04,12,-2057.195022725845,1.3322101890326907,1.3312932452636654,-0.41414501505537515,-0.4488562162156111,-0.005571486623278,0.4539772356420979
2024-08-19,short_two_futures_spot,2024-09-05,13,-1661.5375320642215,0.8194676829476712,0.8188566685662144,-0.512436576697451,-0.3587498753775749,-0.0045990884721861,0.3636242513616536
2024-08-19,short_two_futures_spot,2024-09-06,14,-1446.9544877151413,1.0658791256425397,1.0650232714471062,0.24616660288089176,-0.3185337347062213,-0.0035420674025641,0.3224605145177206
2024-08-19,short_two_futures_spot,2024-09-09,15,-1744.4694513040622,2.348656499985526,2.3466359849015865,1.2816127134544804,-0.3886221458041773,-0.0029776845132005,0.3917797906090314
2024-08-19,short_two_futures_spot,2024-09-10,16,-2279.0580566084677,1.8389292611158075,1.8372418384345248,-0.5093941464670617,-0.5077414810873395,-0.0024239772831011,0.5094712474149824
2024-08-19,short_two_futures_spot,2024-09-11,17,-2198.2811811342835,1.0970787472506833,1.0960091675737473,-0.7412326708607775,-0.4898419165982354,-0.0018692712123242,0.4913018133701819
2024-08-19,short_two_futures_spot,2024-09-12,18,-2400.79237983574,-2.1560349711803215,-2.153809396008205,-3.2498185635819525,-0.5362903474442295,-0.0013824419663175,0.5372954717826209
2024-08-19,short_two_futures_spot,2024-09-13,19,-1757.3328441344634,-3.156233034196098,-3.152794097616474,-0.9989847016082689,-0.3964338211966065,-0.0008436640126714,0.397746527672793
2024-08-19,short_two_futures_spot,2024-09-18,20,-1401.3523478442603,-3.691720897486292,-3.6874869262487744,-0.5346928286323003,-0.3169226649633896,-0.0004474585404463,0.3178713624069296
2024-08-19,short_two_futures_spot,2024-09-19,21,-1285.9100132035765,-2.7993406587895606,-2.7959697140137814,0.891517212234993,-0.2855095231413098,-0.0002248008445717,0.2862632642006095
2024-08-19,short_two_futures_spot,2024-09-20,22,3.0243865902539255,3.0243865902539255,3.0205713304335338,5.816541044447315,0.0,0.0,0.0
2024-08-19,short_one_futures_only,2024-08-19,0,20.0854284212312,0.0,0.0,0.0,0.0,0.0,0.0
