cohort,scenario,total_pnl,option_pnl,futures_pnl,spot_pnl,financing,futures_costs,spot_costs,transaction_costs
2024-08-19,short_no_hedge,20.110798167430804,20.0854284212312,0.0,0.0,0.025369746199598035,0.0,0.0,0.0
2024-08-19,short_one_futures_spot,2.8350690127608686,20.0854284212312,40.23626423588748,-55.57231466018823,-1.9143089841702243,0.0,0.0,0.0
2024-08-19,short_two_futures_spot,3.0243865902539255,20.0854284212312,39.66527411862011,-54.840616230030385,-1.8856997195669698,0.0,0.0,0.0
2024-08-19,short_one_futures_only,60.36706925640986,20.0854284212312,40.23626423588748,0.0,0.04537659929119935,0.0,0.0,0.0
2024-08-19,short_two_futures_only,59.79561498646601,20.0854284212312,39.66527411862011,0.0,0.04491244661471105,0.0,0.0,0.0
2024-09-23,short_no_hedge,-7.997283262474152,-8.003131951982466,0.0,0.0,0.005848689508314877,0.0,0.0,0.0
2024-09-23,short_one_futures_spot,-26.68921473821888,-8.003131951982466,-90.58900153847597,72.11288983609002,-0.2099710838500635,0.0,0.0,0.0
2024-09-23,short_two_futures_spot,-26.194301145220095,-8.003131951982466,-87.6848617307038,69.69790134648858,-0.20420880902231633,0.0,0.0,0.0
2024-09-23,short_one_futures_only,-98.62782921861896,-8.003131951982466,-90.58900153847597,0.0,-0.035695728160512634,0.0,0.0,0.0
2024-09-23,short_two_futures_only,-95.72241540988828,-8.003131951982466,-87.6848617307038,0.0,-0.03442172720199936,0.0,0.0,0.0
2024-10-21,short_no_hedge,12.519668098558832,12.50272497757962,0.0,0.0,0.016943120979210677,0.0,0.0,0.0
2024-10-21,short_one_futures_spot,6.5366962639020585,12.50272497757962,-150.84868530666364,146.0087509701843,-1.1260943771987817,0.0,0.0,0.0
2024-10-21,short_two_futures_spot,6.652626464916693,12.50272497757962,-148.46350974743768,143.71908919569196,-1.1056779609168785,0.0,0.0,0.0
2024-10-21,short_one_futures_only,-138.37045942511008,12.50272497757962,-150.84868530666364,0.0,-0.024499096026021856,0.0,0.0,0.0
2024-10-21,short_two_futures_only,-135.98457789918348,12.50272497757962,-148.46350974743768,0.0,-0.02379312932542932,0.0,0.0,0.0
2024-11-18,short_no_hedge,-23.306208080505087,-23.311885003568285,0.0,0.0,0.005676923063197722,0.0,0.0,0.0
2024-11-18,short_one_futures_spot,-11.122150505023,-23.311885003568285,-27.40611530677215,39.81971374903854,-0.22386394372089086,0.0,0.0,0.0
2024-11-18,short_two_futures_spot,-10.809938755223811,-23.311885003568285,-26.058804221462182,38.77898812516775,-0.21823765536123882,0.0,0.0,0.0
2024-11-18,short_one_futures_only,-50.713967297508184,-23.311885003568285,-27.40611530677215,0.0,0.004033012832254135,0.0,0.0,0.0
