date,contract,expiry,futures_price,volume,hold,price_source,spot,spot_duplicate,risk_free_rate,quality_flags,exclusion_reasons,sessions_to_expiry,tau,implied_carry,excluded,delta,n_contracts,predicted_slow_state,predicted_fast_state,predicted_instantaneous_carry,predicted_var_slow,predicted_var_fast,predicted_cov_slow_fast,filtered_slow_state,filtered_fast_state,filtered_instantaneous_carry,filtered_var_slow,filtered_var_fast,filtered_cov_slow_fast,filtered_instantaneous_variance,filtered_instantaneous_std,slow_loading,fast_loading,predicted_carry,fitted_carry,predicted_futures_price,fitted_futures_price,carry_residual,carry_prediction_error,futures_residual,futures_prediction_error,marginal_prediction_variance,standardized_marginal_prediction_error
2022-07-22,IM2208,2022-08-19,6956.6,22153,17517,close,7034.598,False,0.014,,,20.0,0.08196721311475409,0.15002630138819212,False,,4,0.0,0.0,0.08261737612606601,0.0025741388136841154,0.09174871099454666,0.0,0.040584902191253505,0.10633367468629212,0.22953595300361163,4.907733642190663e-05,0.0014413751898625232,-0.00022931871836126026,0.0010318150895619093,0.03212187867422933,0.9508245505585379,0.26793998026404925,0.08261737612606601,0.14969754020837578,6995.143838731775,6956.787466462232,0.00032876117981633923,0.06740892526212611,-0.187466462231896,-38.543838731774485,0.008949646639735444,0.7125485470073002
2022-07-22,IM2209,2022-09-16,6901.2,6710,5858,close,7034.598,False,0.014,,,39.0,0.1598360655737705,0.1337804543185919,False,,4,0.0,0.0,0.08261737612606601,0.0025741388136841154,0.09174871099454666,0.0,0.040584902191253505,0.10633367468629212,0.22953595300361163,4.907733642190663e-05,0.0014413751898625232,-0.00022931871836126026,0.0010318150895619093,0.03212187867422933,0.9070732510072191,0.14101596969968502,0.08261737612606601,0.1344256015461147,6957.867367288934,6900.488400166095,-0.000645147227522791,0.051163078192525885,0.7115998339049838,-56.66736728893375,0.003978067818295577,0.8111862382674419
2022-07-22,IM2212,2022-12-16,6737.0,3921,3613,close,7034.598,False,0.014,,,99.0,0.4057377049180328,0.12053637454449517,False,,4,0.0,0.0,0.08261737612606601,0.0025741388136841154,0.09174871099454666,0.0,0.040584902191253505,0.10633367468629212,0.22953595300361163,4.907733642190663e-05,0.0014413751898625232,-0.00022931871836126026,0.0010318150895619093,0.03212187867422933,0.7856837623522548,0.05559829115925386,0.08261737612606601,0.12041624537963018,6841.45131285659,6737.328375659103,0.00012012916486499325,0.03791899841842916,-0.32837565910267585,-104.45131285659045,0.0019082678167853051,0.8680349157148888
2022-07-22,IM2303,2023-03-17,6588.0,3703,3338,close,7034.598,False,0.014,,,158.0,0.6475409836065574,0.11529201922600309,False,,4,0.0,0.0,0.08261737612606601,0.0025741388136841154,0.09174871099454666,0.0,0.040584902191253505,0.10633367468629212,0.22953595300361163,4.907733642190663e-05,0.0014413751898625232,-0.00022931871836126026,0.0010318150895619093,0.03212187867422933,0.6872833160855315,0.03483690449216138,0.08261737612606601,0.11421503835642459,6728.87510177537,6592.596002804827,0.0010769808695784977,0.032674643099937076,-4.5960028048266395,-140.87510177537024,0.0013629068308867748,0.8850703018617287
2022-07-25,IM2208,2022-08-19,6878.6,22883,18747,close,6948.909,False,0.014,,,19.0,0.0778688524590164,0.1445981229888313,False,0.004098360655737705,4,0.04037902450999766,0.08866840274792408,0.21166480338398774,7.463044734844833e-05,0.02895456539529049,-0.0001902518497106365,0.039346252222118044,0.08697411823518961,0.20893774658337366,2.9398084233696792e-05,0.0009260344662017847,-0.00013141203175304087,0.0006926084869293997,0.02631745593573588,0.953205363017834,0.2805171340092215,0.1459798850584474,0.14452016513915586,6877.859928409968,6878.641756587524,7.795784967543073e-05,-0.0013817620696160993,-0.041756587523195776,0.7400715900321302,0.002280140683668644,-0.028936929420230857
2022-07-25,IM2209,2022-09-16,6823.0,6248,6213,close,6948.909,False,0.014,,,38.0,0.1557377049180328,0.1314115864451097,False,0.004098360655737705,4,0.04037902450999766,0.08866840274792408,0.21166480338398774,7.463044734844833e-05,0.02895456539529049,-0.0001902518497106365,0.039346252222118044,0.08697411823518961,0.20893774658337366,2.9398084233696792e-05,0.0009260344662017847,-0.00013141203175304087,0.0006926084869293997,0.02631745593573588,0.9093073162807446,0.14470275671536661,0.1321648808484594,0.13098060581138563,6822.199597552972,6823.457974684314,0.0004309806337240707,-0.0007532944033497024,-0.45797468431374,0.8004024470283184,0.0006535611248731065,-0.029466030566690508
2022-07-25,IM2212,2022-12-16,6670.0,2763,3461,close,6948.909,False,0.014,,,98.0,0.4016393442622951,0.11599401401957343,False,0.004098360655737705,4,0.04037902450999766,0.08866840274792408,0.21166480338398774,7.463044734844833e-05,0.02895456539529049,-0.0001902518497106365,0.039346252222118044,0.08697411823518961,0.20893774658337366,2.9398084233696792e-05,0.0009260344662017847,-0.00013141203175304087,0.0006926084869293997,0.02631745593573588,0.7875176575629631,0.056165620488084274,0.11939668678088136,0.11848819982699337,6660.89068882391,6663.321585428405,-0.0024941858074199325,-0.003402672761307929,6.678414571594658,9.10931117609016,0.0001564375055966127,-0.2720506345943547
2022-07-25,IM2303,2023-03-17,6515.0,2829,3644,close,6948.909,False,0.014,,,157.0,0.6434426229508197,0.11420700519423466,False,0.004098360655737705,4,0.04037902450999766,0.08866840274792408,0.21166480338398774,7.463044734844833e-05,0.02895456539529049,-0.0001902518497106365,0.039346252222118044,0.08697411823518961,0.20893774658337366,2.9398084233696792e-05,0.0009260344662017847,-0.00013141203175304087,0.0006926084869293997,0.02631745593573588,0.6888017888443602,0.035058795603574035,0.11353912784877751,0.1127683528749909,6517.800362664452,6521.033664016118,0.001438652319243755,0.0006678773454571463,-6.033664016117655,-2.800362664452223,9.745195924033048e-05,0.06765523780500385
2022-07-26,IM2208,2022-08-19,6991.0,19269,20386,close,7027.419,False,0.014,,,18.0,0.07377049180327869,0.08443317630106531,False,0.004098360655737705,4,0.039146657921374776,0.07252506007222118,0.19428909411966197,5.515034520812643e-05,0.028596229274017164,-0.00010902460250044947,0.03842653423074602,-0.11737446877958163,0.003669441577230398,2.5270140599586925e-05,0.0007724454847415699,-0.00010789745828242346,0.0005819207087763099,0.024123032744170245,0.9555941955684738,0.29417105716897496,0.14136046880432507,0.0848093776272438,6961.7024767633275,6990.8059845672915,-0.00037620132617849356,-0.05692729250325976,0.19401543270851107,29.297523236672532,0.002499330165437081,-1.1386984081948606
2022-07-26,IM2209,2022-09-16,6937.0,6357,7765,close,7027.419,False,0.014,,,37.0,0.15163934426229508,0.09940061449540678,False,0.004098360655737705,4,0.039146657921374776,0.07252506007222118,0.19428909411966197,5.515034520812643e-05,0.028596229274017164,-0.00010902460250044947,0.03842653423074602,-0.11737446877958163,0.003669441577230398,2.5270140599586925e-05,0.0007724454847415699,-0.00010789745828242346,0.0005819207087763099,0.024123032744170245,0.911548844951576,0.1485838861555349,0.1290775222072039,0.100205084312883,6905.852341700714,6936.153812009135,-0.0008044698174762138,-0.02967690771179711,0.8461879908645642,31.147658299286377,0.0006832602475736665,-1.135339032952533
