expiry_zone,roll_change_date,n,mean_carry_residual,carry_rmse,futures_rmse,model
6-10_sessions,False,243,1.0673441208628005e-05,0.0028628099741071994,0.5885448363595271,two_factor_ou
6-10_sessions,True,1,-0.0036955954649067757,0.0036955954649067757,0.7923876812801609,two_factor_ou
11-21_sessions,False,499,7.033685810432424e-05,0.002822251119380351,1.2289154241932774,two_factor_ou
11-21_sessions,True,40,0.0006578714358296178,0.002976911215110663,1.3260584196607759,two_factor_ou
22+_sessions,False,2567,3.0705686633247376e-05,0.00512401893102847,10.406981451096481,two_factor_ou
22+_sessions,True,317,-9.983232433922303e-05,0.00509210651441136,11.293782940813665,two_factor_ou
6-10_sessions,False,243,0.00475851938584139,0.032012127020876704,6.769886759729969,one_factor_ou
6-10_sessions,True,1,-0.15415560526085614,0.15415560526085614,32.96158456127068,one_factor_ou
11-21_sessions,False,499,-0.0005991857084045841,0.017254816237786165,6.930417744443269,one_factor_ou
11-21_sessions,True,40,0.0034806211243666027,0.013965672007338562,6.736082556895315,one_factor_ou
22+_sessions,False,2567,-0.0003047783195208989,0.016040939797473137,43.82311544258869,one_factor_ou
22+_sessions,True,317,0.000158739796575649,0.01758245266224326,41.8473783573339,one_factor_ou
