parameter,estimate,standard_error,log_likelihood,optimizer_converged,optimizer_message,hessian_stable,slow_half_life_sessions,fast_half_life_sessions
kappa_slow,1.5998116916107086,,8682.904008251793,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,False,105.71738720470705,3.660892611280201
kappa_fast,46.19854500388724,,8682.904008251793,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,False,105.71738720470705,3.660892611280201
theta,0.07605149725336159,,8682.904008251793,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,False,105.71738720470705,3.660892611280201
eta_slow,0.08746421885389702,,8682.904008251793,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,False,105.71738720470705,3.660892611280201
eta_fast,3.0000000000000004,,8682.904008251793,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,False,105.71738720470705,3.660892611280201
sigma_epsilon,0.00591681319404039,,8682.904008251793,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,False,105.71738720470705,3.660892611280201
