date,mean_standardized_innovation,innovation_rms,n,model,sample
2022-07-22,0.6244597088092572,0.6345989728634723,4,two_factor_ou,full
2022-07-25,-0.006684035579339803,0.3468326486709893,4,two_factor_ou,full
2022-07-26,-0.26135644162582333,0.6562575282822484,4,two_factor_ou,full
2022-07-27,-0.2750459272897238,0.40055291030539236,4,two_factor_ou,full
2022-07-28,-0.5513320519741552,0.7640321575995686,4,two_factor_ou,full
2022-07-29,-0.19122447676331542,0.7278288492593596,4,two_factor_ou,full
2022-08-01,0.4013848444647972,0.6303941158452923,4,two_factor_ou,full
2022-08-02,-0.4349629258342188,0.8981433392318543,4,two_factor_ou,full
2022-08-03,0.37874331365318276,1.0931915015163984,4,two_factor_ou,full
2022-08-04,0.6112581957207475,1.2565125532919215,4,two_factor_ou,full
2022-08-05,-0.15238867385042304,1.176450856156528,4,two_factor_ou,full
2022-08-08,0.34837390763671255,1.0253473267479782,4,two_factor_ou,full
2022-08-09,0.2876454895580209,0.8524664748457219,4,two_factor_ou,full
2022-08-10,0.11187554223402177,1.0269335879501416,4,two_factor_ou,full
2022-08-11,0.06871295518338069,0.8719753704722298,4,two_factor_ou,full
2022-08-12,-0.04405298675539169,0.21966787261331047,3,two_factor_ou,full
2022-08-15,0.13331298507827205,0.28283154409968675,3,two_factor_ou,full
2022-08-16,0.11819269841544304,0.3783216932671652,3,two_factor_ou,full
2022-08-17,-0.2152654770241187,0.528766158636803,3,two_factor_ou,full
2022-08-18,-0.20390328324681417,0.41354837837652697,3,two_factor_ou,full
2022-08-19,0.07589426072800853,0.3971429781699875,3,two_factor_ou,full
2022-08-22,0.12710940130617085,0.4222398594880854,4,two_factor_ou,full
2022-08-23,0.2772090097942606,0.5523982647380096,4,two_factor_ou,full
2022-08-24,0.6016060425383317,0.7512345393999161,4,two_factor_ou,full
2022-08-25,0.3697047149776715,0.8756607811846767,4,two_factor_ou,full
2022-08-26,0.20710200382153618,0.6393338646528319,4,two_factor_ou,full
2022-08-29,0.21718623299757636,0.7567993157363945,4,two_factor_ou,full
2022-08-30,0.030570020918060548,0.8429176308923642,4,two_factor_ou,full
2022-08-31,0.223292108496468,0.8027668882230165,4,two_factor_ou,full
2022-09-01,0.15238805701333596,0.6730612369190783,4,two_factor_ou,full
2022-09-02,0.10119674762618841,0.9088086226277726,4,two_factor_ou,full
2022-09-05,-0.10315200557724996,1.0935360347385474,4,two_factor_ou,full
2022-09-06,-0.08373613565758681,0.9686044751417778,4,two_factor_ou,full
2022-09-07,0.10414961334296854,1.120196543966335,4,two_factor_ou,full
2022-09-08,0.38364378723259357,0.8713064038284,3,two_factor_ou,full
2022-09-09,-0.18720546642784563,0.6369072702717935,3,two_factor_ou,full
2022-09-13,0.46271417249827373,0.49755027106582284,3,two_factor_ou,full
2022-09-14,0.26614711365839056,0.4601646727309362,3,two_factor_ou,full
2022-09-15,1.035710356541446,1.1517074491105426,3,two_factor_ou,full
2022-09-16,0.3784749971943973,0.37880733884557943,3,two_factor_ou,full
2022-09-19,0.8323874356209735,0.8467096061661707,4,two_factor_ou,full
2022-09-20,0.5890606355675496,0.6992423344553194,4,two_factor_ou,full
2022-09-21,0.1359067576224433,0.5331830464480039,4,two_factor_ou,full
2022-09-22,-0.7869331976819504,0.8139442974388219,4,two_factor_ou,full
2022-09-23,-0.8776348700851361,0.9450879846642556,4,two_factor_ou,full
2022-09-26,-0.6058187793196117,0.6243793174842318,4,two_factor_ou,full
2022-09-27,-0.4369626333627076,0.5096465264305019,4,two_factor_ou,full
2022-09-28,-0.8716343641083555,0.9606575236766757,4,two_factor_ou,full
2022-09-29,-0.29117867886993454,0.3899276464995982,4,two_factor_ou,full
2022-09-30,0.24408741233213713,0.8935243568456184,4,two_factor_ou,full
2022-10-10,0.4973530599397514,0.8385559493033246,4,two_factor_ou,full
2022-10-11,0.34845513207297396,0.44124789938563835,4,two_factor_ou,full
2022-10-12,0.05350210942914235,1.2598028636110552,4,two_factor_ou,full
2022-10-13,0.10290413869328331,0.6696145040994532,4,two_factor_ou,full
2022-10-14,-0.26059982574578866,0.6313888369195076,3,two_factor_ou,full
2022-10-17,0.25384980509662397,1.0422275458528525,3,two_factor_ou,full
2022-10-18,0.2796916039214457,0.4532121120913922,3,two_factor_ou,full
2022-10-19,-0.002552072979437936,0.4906082834679575,3,two_factor_ou,full
2022-10-20,0.4741757722475833,0.536580047733301,3,two_factor_ou,full
2022-10-21,0.15734056188874693,0.31967334381813917,3,two_factor_ou,full
2022-10-24,-0.37253230895533085,0.8109817969147127,4,two_factor_ou,full
2022-10-25,-0.4260969715380392,0.74875744135332,4,two_factor_ou,full
2022-10-26,-0.6390572441257614,1.0903524161268423,4,two_factor_ou,full
2022-10-27,-0.6799723929781959,1.1057931274591772,4,two_factor_ou,full
2022-10-28,-0.36424951326503496,1.3516334358662474,4,two_factor_ou,full
2022-10-31,0.4839952540205481,0.8695114636644844,4,two_factor_ou,full
2022-11-01,-0.19926804625230304,0.9718762962596418,4,two_factor_ou,full
2022-11-02,-0.22140311132812415,0.9549300232293276,4,two_factor_ou,full
2022-11-03,0.28943195825290624,0.9472178179593527,4,two_factor_ou,full
2022-11-04,-0.5726970156815763,1.0278901097799975,4,two_factor_ou,full
2022-11-07,-0.27909232494361585,1.2793325816522048,4,two_factor_ou,full
2022-11-08,-0.21392488837093548,0.4788052214650566,4,two_factor_ou,full
2022-11-09,-0.5710101154261515,1.4158950721470056,4,two_factor_ou,full
2022-11-10,-0.1866143977492149,0.4587343637610203,4,two_factor_ou,full
2022-11-11,-0.2480104830656301,0.5505758884762387,3,two_factor_ou,full
2022-11-14,-0.15017993185093068,0.40164987338108254,3,two_factor_ou,full
2022-11-15,-0.1818153965855307,0.30097776890295147,3,two_factor_ou,full
2022-11-16,0.06395659907339428,0.334996055590781,3,two_factor_ou,full
2022-11-17,-0.3226244000733527,0.480724516925589,3,two_factor_ou,full
2022-11-18,-0.23715925702454918,0.5766653990014617,3,two_factor_ou,full
2022-11-21,-0.4327309978950064,0.9619111754712003,4,two_factor_ou,full
2022-11-22,0.7645834879654437,1.099948688961985,4,two_factor_ou,full
2022-11-23,0.19964273140661903,0.6660907428930535,4,two_factor_ou,full
2022-11-24,0.4052380755299124,0.9129864808307632,4,two_factor_ou,full
2022-11-25,0.15867301413850582,0.8590758974718883,4,two_factor_ou,full
2022-11-28,0.11448239175164082,0.7974740281024363,4,two_factor_ou,full
2022-11-29,-0.18190976274392065,0.7685967235861885,4,two_factor_ou,full
2022-11-30,0.37308127407219244,0.7185714270251414,4,two_factor_ou,full
2022-12-01,-0.22371370919324438,0.7816696757491753,4,two_factor_ou,full
2022-12-02,-0.05838673917639092,0.7290918800878882,4,two_factor_ou,full
2022-12-05,0.380123366336083,1.2789216158771002,4,two_factor_ou,full
2022-12-06,0.4385641783288916,1.07549110903506,4,two_factor_ou,full
2022-12-07,0.35166909333764174,1.0154065506307872,4,two_factor_ou,full
2022-12-08,0.48323969519445886,0.9012337392982608,4,two_factor_ou,full
2022-12-09,0.5331740045860123,0.6907294415641754,3,two_factor_ou,full
2022-12-12,0.3271317789236608,0.5919622321954073,3,two_factor_ou,full
2022-12-13,-0.10222458222441556,0.37582540938739417,3,two_factor_ou,full
2022-12-14,0.5051011389562196,0.5228770498665458,3,two_factor_ou,full
2022-12-15,-0.03347197340268473,0.17716598272536316,3,two_factor_ou,full
2022-12-16,-0.7556416155588866,1.0505110522316488,3,two_factor_ou,full
2022-12-19,-0.3817504865741791,0.5399956317515247,4,two_factor_ou,full
2022-12-20,-0.2765609995732373,0.5890248106120531,4,two_factor_ou,full
2022-12-21,-0.5348545964845707,0.72638792932332,4,two_factor_ou,full
2022-12-22,-0.7403142084391727,0.8835408076725902,4,two_factor_ou,full
2022-12-23,-0.04277422596999721,0.38730595628485975,4,two_factor_ou,full
2022-12-26,-0.3319181158946473,0.5359154656426228,4,two_factor_ou,full
