date,delta,n_contracts,predicted_slow_state,predicted_fast_state,predicted_instantaneous_carry,predicted_var_slow,predicted_var_fast,predicted_cov_slow_fast,filtered_slow_state,filtered_fast_state,filtered_instantaneous_carry,filtered_var_slow,filtered_var_fast,filtered_cov_slow_fast,filtered_instantaneous_variance,filtered_instantaneous_std,nearest_contract_sessions,weak_instantaneous_observability
2022-07-22,,4,0.0,0.0,0.082617376126066,0.0025741388136841,0.0917487109945466,0.0,0.0405849021912535,0.1063336746862921,0.2295359530036116,4.907733642190663e-05,0.0014413751898625,-0.0002293187183612,0.0010318150895619,0.0321218786742293,20.0,False
2022-07-25,0.0040983606557377,4,0.0403790245099976,0.088668402747924,0.2116648033839877,7.463044734844833e-05,0.0289545653952904,-0.0001902518497106,0.039346252222118,0.0869741182351896,0.2089377465833736,2.9398084233696792e-05,0.0009260344662017,-0.000131412031753,0.0006926084869293,0.0263174559357358,19.0,False
2022-07-26,0.0040983606557377,4,0.0391466579213747,0.0725250600722211,0.1942890941196619,5.515034520812643e-05,0.0285962292740171,-0.0001090246025004,0.038426534230746,-0.1173744687795816,0.0036694415772303,2.5270140599586925e-05,0.0007724454847415,-0.0001078974582824,0.0005819207087763,0.0241230327441702,18.0,False
2022-07-27,0.0040983606557377,4,0.0382316054434634,-0.0978749836378338,0.0229739979316956,5.106417552785126e-05,0.028489432979139,-8.951598528022789e-05,0.0350595300267886,-0.1164685616785254,0.0012083444743292,2.390795703174124e-05,0.0006828889489445,-9.740586096106737e-05,0.0005119851840541,0.0226270896063586,17.0,False
2022-07-28,0.0040983606557377,4,0.0348816812614073,-0.0971195753823998,0.0203794820050735,4.97157769819248e-05,0.0284271608935095,-8.081174250811079e-05,0.0281886315355323,-0.0976574392288728,0.0131485684327254,2.315982379682571e-05,0.0006102397840414,-8.987084793981442e-05,0.0004536579119586,0.0212992467462738,16.0,False
2022-07-29,0.0040983606557377,4,0.0280456372252106,-0.0814335550654387,0.0292294582858379,4.897521470387974e-05,0.0283766451497115,-7.456039863556768e-05,0.0250402486861037,-0.0750398937211644,0.0326177310910053,2.2557547904679744e-05,0.000544980631085,-8.319363054202072e-05,0.0004011509179056,0.0200287522803013,15.0,False
2022-08-01,0.0040983606557377,4,0.0249132253828745,-0.0625734748494248,0.0449571266595157,4.837903372182566e-05,0.02833126796395,-6.902071583109193e-05,0.0273937721626977,0.0298537008364364,0.1398648491252002,2.1995906340521265e-05,0.0004850550687003,-7.692446294282014e-05,0.0003532020491551,0.0187936704545757,14.0,False
2022-08-02,0.0040983606557377,4,0.0272548099873762,0.0248940890747043,0.1347662751881465,4.782307585658664e-05,0.0282895994277678,-6.381956722701271e-05,0.0242455487699467,-0.173663076625871,-0.0668001517298582,2.145202687283576e-05,0.000429938454402,-7.097034634754477e-05,0.0003094497885798,0.0175911849680401,13.0,False
2022-08-03,0.0040983606557377,4,0.0241225567928315,-0.1448123340619526,-0.038072401143055,4.7284700339000405e-05,0.0282512747371726,-5.8879797356768655e-05,0.024673998356227,0.0101216174575543,0.1174129919398473,2.0921541502220395e-05,0.0003794057923605,-6.531391908466265e-05,0.0002696994956934,0.0164225301246027,12.0,False
2022-08-04,0.0040983606557377,4,0.0245488329549418,0.0084401075749011,0.1156063166559089,4.6759583372933725e-05,0.0282161374439564,-5.418700229316781e-05,0.0256195102941239,0.2909434952030895,0.3991803816232794,2.040413262586204e-05,0.0003332788452786,-5.995276327933658e-05,0.0002337774513458,0.0152897825800713,11.0,False
