nearest_maturity_bucket,n_dates,mean_abs_fast_state,max_abs_fast_state,mean_instantaneous_std,weak_observability_fraction
1-10,244,0.14350937730221883,1.1383321411698493,0.01224329930094985,0.0
11-21,534,0.14156284430721436,0.8900516464855039,0.021823006926069623,0.0
22-42,212,0.15566339855501857,1.9328744690621216,0.03395839607073214,1.0
64+,1,1.756110838286416,1.756110838286416,0.1016213341025671,1.0
