date,mean_carry_residual,mean_abs_carry_residual,carry_rmse,mean_futures_residual,futures_rmse,n_contracts
2022-07-22,0.0002201809966842598,0.0005427546104456553,0.0006516551365990667,-1.1000612730640569,2.3330554190557065,4
2022-07-25,-0.000136648751194169,0.0011104441525157972,0.0014562370231672173,0.03625482091001686,4.506046134738156,4
2022-07-26,-0.00020089153517869815,0.0009344313671263531,0.0010160052444240476,-0.5599570235779083,3.464557362491168,4
2022-07-27,-0.0007417793851651477,0.0013090333634510065,0.0013378333919084032,2.31678592327944,3.0228174973066997,4
2022-07-28,-0.0015637394380343152,0.002941222968140738,0.003068355926885212,4.771096271206261,6.178874608244018,4
2022-07-29,-0.0005562898467460949,0.0026352148195566798,0.0033253461179993792,-0.05006109411056059,4.302120530499622,4
2022-08-01,0.0007874100633783535,0.0019653715314148223,0.00227604949894804,-4.027596382883075,7.944686922151295,4
2022-08-02,-0.0006432213405125949,0.0027088705539861594,0.002913950501975477,-0.29778474773365815,8.24945159935684,4
2022-08-03,0.0005122874311810528,0.004297813203270936,0.004991536293032638,-4.817947498223248,11.867917870760893,4
2022-08-04,0.0006613194346046652,0.004300653056194398,0.0048306859596554015,-4.853961697582463,11.124556902904366,4
2022-08-05,0.0008428146707179559,0.002304808001956914,0.002636893707484354,-2.4905838850295368,3.2633633654098415,4
2022-08-08,1.7565620920659275e-06,0.002856434729396694,0.0035000273170016174,-2.131814622333877,6.659585097451979,4
2022-08-09,0.0004304041711920628,0.003657110989198069,0.00406751918250017,-4.173147316126688,8.820781548378346,4
2022-08-10,-9.702426898516858e-06,0.004442837057450244,0.005266973924716544,-3.935722173741169,10.060520592647485,4
2022-08-11,0.0010985096777270664,0.002352969444835304,0.003025090560317042,-2.372645342783926,3.3589809338608068,4
2022-08-12,-0.0004028527475379712,0.0006836376251563442,0.0009310635017702418,1.2526000676950086,2.1808616652294797,3
2022-08-15,-7.075077974878312e-05,0.0006690365152062135,0.0007462102824136852,0.3349452151139,1.717154483125863,3
2022-08-16,0.00029574961395057814,0.0012070112624713674,0.001490554496986027,-1.995514179089999,5.504605075771445,3
2022-08-17,-0.0006113425906009764,0.001814089633854224,0.0022488840189935806,1.0344751572301902,5.80066667216161,3
2022-08-18,-0.0003512830412436228,0.0008128246497916038,0.0010433034166105937,0.3985449775542899,2.7670078644498273,3
2022-08-19,-0.0002523251991496019,0.0010092785224197487,0.001199452017341638,0.8295372684369795,2.6256464968766444,3
2022-08-22,0.00018449524313715604,0.0014419250691307117,0.0015548730184803564,-1.3810255900950779,4.955890868865699,4
2022-08-23,0.0007664648029059896,0.0015410697347341164,0.0023604246722870124,-3.9032283021160765,8.75486679619006,4
2022-08-24,0.0011991195688849828,0.002030167771977485,0.002514286753015745,-4.562046195138009,8.420639452436534,4
2022-08-25,0.0007357437598888156,0.0034833318295224985,0.004103285189304978,-4.434259240577376,10.775885059315677,4
2022-08-26,0.00047794261810282096,0.0023854331686680927,0.0028829420815517782,-3.212856239288385,8.58721024549312,4
2022-08-29,0.0002842843388894817,0.0031685743539718175,0.0034674249455117004,-2.930072613979519,9.79339738918549,4
2022-08-30,0.0006613042349340945,0.0019030994280924349,0.002748425483191988,-3.943419868124465,9.156444913323643,4
2022-08-31,0.0003071801637423606,0.0032434783161183027,0.0036663777479254336,-3.0869969465106806,9.42414827901075,4
2022-09-01,0.00034870336555760384,0.0024448966188075696,0.0029760937992073357,-2.865282068258466,7.688817365688741,4
2022-09-02,-0.00036407459653150717,0.003233231268851087,0.004059747019405282,-1.1799995495564417,5.696874161856321,4
2022-09-05,-0.0007037290501824035,0.004735039598546657,0.0055056320835823284,-1.5800446855325845,8.745573082988653,4
2022-09-06,-0.0006249059532915102,0.004232980102188352,0.0048684822894804955,-1.5615503869544227,8.16578857595896,4
2022-09-07,-0.00043467983675425995,0.004899994480987085,0.0057636666000966275,-2.6749558577757853,10.33506350297214,4
2022-09-08,0.001425509663713631,0.0028237150356724694,0.0034539213656322922,-6.1716393344310445,10.742532180891903,3
2022-09-09,-0.00014298856267383475,0.001663815573794904,0.001925624794984671,-1.0419053242731025,5.0407893764453835,3
2022-09-13,0.000943848677062579,0.0011046333688097172,0.001520317783720508,-3.0634833939232826,4.922031373020056,3
2022-09-14,0.0007581073804728231,0.00138546998407973,0.0018957294461540515,-3.100715543558484,6.017658553902818,3
2022-09-15,0.001825285904262915,0.001825285904262915,0.002356940858469101,-4.729310461104433,6.896971976231633,3
2022-09-16,0.0008280944399520022,0.0012126453690677146,0.0013606843926875474,-1.962571743256376,2.5334289055269013,3
2022-09-19,0.0018702074422782752,0.0031113845157889966,0.0032826876757933894,-4.648365999891212,6.779210867945221,4
2022-09-20,0.0015195350018355272,0.00285576328226627,0.003203420267180317,-3.585805076720135,5.162190784281156,4
2022-09-21,0.0006926454895584133,0.002258592877523502,0.0025063460297443502,-1.2227868333982315,2.8300715872553024,4
