start_id,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_epsilon,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_epsilon,log_likelihood,converged,iterations,message
4,3.0,25.0,0.102431662393523,0.35095353242272287,0.7677108521747062,0.02745291632948948,1.2409047966134241,44.32953558819525,0.08261737612606601,0.0799282328223189,2.852079153601385,0.005970235000294219,10862.802697963396,True,33,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,0.75,12.0,0.102431662393523,0.2193459577642018,0.5483648944105045,0.02745291632948948,1.2409080096370388,44.32962790611158,0.08261743505937988,0.07992833749650852,2.8520836798079383,0.005970232546487072,10862.802697962894,True,33,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
11,0.683568151012932,6.521215913045797,0.0982302694046904,0.3645776598292768,0.3720003449940457,0.0285213994824593,1.2409002968883287,44.32954596932062,0.08261731547369948,0.07992814760951181,2.8520829837571045,0.005970233461450713,10862.802697962214,True,32,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
0,0.15,4.0,0.102431662393523,0.1096729788821009,0.32901893664630266,0.02745291632948948,1.240907942941588,44.329661324743775,0.08261742113871108,0.07992856073924047,2.852088852204109,0.00597022887482805,10862.802697961863,True,44,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
6,1.2776977012389195,41.252021781482064,0.12055444208639998,0.058565693035902436,0.6545279571024266,0.02866618610595614,1.2408958550795062,44.329666465977745,0.08261727088068016,0.07992831405235111,2.852087922877522,0.005970234461314522,10862.802697951012,True,24,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
10,3.6313873516459405,6.903432857363258,0.07921665590503307,0.3325092072076622,0.705816217339608,0.01388201455910394,1.2408984242336032,44.32943977904239,0.08261743926589157,0.0799284824450356,2.8520770605332584,0.005970228904128534,10862.802697949803,True,37,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
7,0.3827375932483699,1.5424571156535538,0.0912888771036335,1.0998021780869351,0.29777215935106366,0.016273105979146836,1.2409083668238094,44.3297201561935,0.08261739023106607,0.07992886429042399,2.8520960795165102,0.0059702278448226865,10862.802697948935,True,42,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
9,2.0683765532731546,9.793361060849696,0.0546720725458985,0.07835223640371963,0.6666388136843345,0.020601437220156837,1.2409096879458998,44.32982127025688,0.08261734899477961,0.07992851932608533,2.8520921274251725,0.005970226745617042,10862.802697945714,True,31,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
8,1.6719627151010144,32.64543130974995,0.12166911243235597,0.1623359508379282,0.2558658126687645,0.02668104109879994,1.2409115033939302,44.32947643977485,0.08261751915446564,0.07992892860777298,2.8520791108446497,0.005970226305631392,10862.802697943931,True,31,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1,0.35,8.0,0.102431662393523,0.15354217043494126,0.4386919155284036,0.02745291632948948,1.2409076232335192,44.329649679092505,0.08261738319035454,0.07992921920557834,2.852094224799118,0.0059702230053505995,10862.802697928453,True,23,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
5,5.0,35.0,0.102431662393523,0.4386919155284036,0.8773838310568072,0.02745291632948948,1.240907773548391,44.3290701296424,0.08261753222743731,0.0799280646597701,2.8520682995410738,0.005970223194671104,10862.802697865436,True,28,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
3,1.5,18.0,0.102431662393523,0.28514974509346236,0.6580378732926053,0.02745291632948948,1.2408761705904727,44.32924770749817,0.08261729731789276,0.07992722056757395,2.852071259562701,0.005970236409592738,10862.802697834395,True,27,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
