maturity_bucket,n,mean_carry_residual,carry_rmse,mean_futures_residual,futures_rmse,model
6-21,783,7.702554326440911e-05,0.0028442484143974454,-0.08391511903086778,1.0773074396879898,two_factor_ou
22-42,931,-0.000386649903714987,0.0062935930110516345,0.6882246252684014,5.442790140809341,two_factor_ou
43-63,344,0.000356381153807827,0.005062890220759651,-0.27912197478682427,6.654837924267852,two_factor_ou
64-126,1029,0.0003072533728380734,0.004112806670131601,-0.8554171820553167,10.61388221529132,two_factor_ou
127-189,580,-5.4505390395870464e-05,0.004645729024320264,-1.0438970240735954,16.59438741734957,two_factor_ou
6-21,783,0.0010758566819660006,0.02341127645792429,0.04890053907856875,6.9669714198657005,one_factor_ou
22-42,931,-0.0016098207246868707,0.013507438899702883,1.292565627415865,10.120829438602266,one_factor_ou
43-63,344,0.0027643954451558625,0.013363879036299285,-4.545709249247442,18.945879816382245,one_factor_ou
64-126,1029,0.0003673307068626859,0.017180932378341156,-4.1408140203681265,46.247689338669645,one_factor_ou
127-189,580,-0.0009693752870819151,0.019629095967487943,-0.14792368493031377,72.69741029709934,one_factor_ou
