date,contract,expiry,sessions_to_expiry,tau,spot,futures_price,implied_carry,predicted_carry,fitted_carry,carry_prediction_error,carry_residual,predicted_futures_price,fitted_futures_price,futures_prediction_error,futures_residual,standardized_marginal_prediction_error
2022-07-22,IM2208,2022-08-19,20.0,0.08196721311475409,7034.598,6956.6,0.15002630138819212,0.08261737612606601,0.14969754020837578,0.06740892526212611,0.00032876117981633923,6995.143838731775,6956.787466462232,-38.543838731774485,-0.187466462231896,0.7125485470073002
2022-07-22,IM2209,2022-09-16,39.0,0.1598360655737705,7034.598,6901.2,0.1337804543185919,0.08261737612606601,0.1344256015461147,0.051163078192525885,-0.000645147227522791,6957.867367288934,6900.488400166095,-56.66736728893375,0.7115998339049838,0.8111862382674419
2022-07-22,IM2212,2022-12-16,99.0,0.4057377049180328,7034.598,6737.0,0.12053637454449517,0.08261737612606601,0.12041624537963018,0.03791899841842916,0.00012012916486499325,6841.45131285659,6737.328375659103,-104.45131285659045,-0.32837565910267585,0.8680349157148888
2022-07-22,IM2303,2023-03-17,158.0,0.6475409836065574,7034.598,6588.0,0.11529201922600309,0.08261737612606601,0.11421503835642459,0.032674643099937076,0.0010769808695784977,6728.87510177537,6592.596002804827,-140.87510177537024,-4.5960028048266395,0.8850703018617287
2022-07-25,IM2208,2022-08-19,19.0,0.0778688524590164,6948.909,6878.6,0.1445981229888313,0.1459798850584474,0.14452016513915586,-0.0013817620696160993,7.795784967543073e-05,6877.859928409968,6878.641756587524,0.7400715900321302,-0.041756587523195776,-0.028936929420230857
2022-07-25,IM2209,2022-09-16,38.0,0.1557377049180328,6948.909,6823.0,0.1314115864451097,0.1321648808484594,0.13098060581138563,-0.0007532944033497024,0.0004309806337240707,6822.199597552972,6823.457974684314,0.8004024470283184,-0.45797468431374,-0.029466030566690508
2022-07-25,IM2212,2022-12-16,98.0,0.4016393442622951,6948.909,6670.0,0.11599401401957343,0.11939668678088136,0.11848819982699337,-0.003402672761307929,-0.0024941858074199325,6660.89068882391,6663.321585428405,9.10931117609016,6.678414571594658,-0.2720506345943547
2022-07-25,IM2303,2023-03-17,157.0,0.6434426229508197,6948.909,6515.0,0.11420700519423466,0.11353912784877751,0.1127683528749909,0.0006678773454571463,0.001438652319243755,6517.800362664452,6521.033664016118,-2.800362664452223,-6.033664016117655,0.06765523780500385
2022-07-26,IM2208,2022-08-19,18.0,0.07377049180327869,7027.419,6991.0,0.08443317630106531,0.14136046880432507,0.0848093776272438,-0.05692729250325976,-0.00037620132617849356,6961.7024767633275,6990.8059845672915,29.297523236672532,0.19401543270851107,-1.1386984081948606
2022-07-26,IM2209,2022-09-16,37.0,0.15163934426229508,7027.419,6937.0,0.09940061449540678,0.1290775222072039,0.100205084312883,-0.02967690771179711,-0.0008044698174762138,6905.852341700714,6936.153812009135,31.147658299286377,0.8461879908645642,-1.135339032952533
2022-07-26,IM2212,2022-12-16,97.0,0.3975409836065574,7027.419,6777.2,0.10519930215525243,0.1176334936482396,0.10628927681620783,-0.012434191492987176,-0.001089974660955395,6743.782279448213,6774.2640103290505,33.41772055178717,2.9359896709493114,-1.0074900342285833
2022-07-26,IM2303,2023-03-17,156.0,0.639344262295082,7027.419,6624.0,0.10646986950295019,0.11220023527056065,0.10500278983905488,-0.0057303657676104625,0.0014670796638953099,6599.776208197187,6630.216021188834,24.22379180281314,-6.21602118883402,-0.5967359782189977
2022-07-27,IM2208,2022-08-19,17.0,0.06967213114754098,7099.434,7066.2,0.08134700645772011,0.08899718251652391,0.0802124985011484,-0.007650176058803804,0.0011345079565717175,7062.434690194759,7066.758559870433,3.7653098052405767,-0.5585598704328731,-0.14587966263399754
2022-07-27,IM2209,2022-09-16,36.0,0.14754098360655737,7099.434,7015.0,0.09509169881378786,0.10261031736297749,0.09687291562572359,-0.007518618549189629,-0.0017812168119357291,7007.222544381914,7013.156682824419,7.777455618085696,1.8433171755814328,-0.2807133587954704
2022-07-27,IM2212,2022-12-16,96.0,0.39344262295081966,7099.434,6856.6,0.10245856670700011,0.10725461621523621,0.10367878300668054,-0.004796049508236103,-0.0012202162996804294,6843.673998778135,6853.309038526957,12.92600122186559,3.290961473043353,-0.38755508633036534
2022-07-27,IM2303,2023-03-17,155.0,0.6352459016393442,7099.434,6715.0,0.10163729516533461,0.1055923775508586,0.10273748755095076,-0.003955082385523986,-0.00110019238561615,6698.150075241637,6710.308575085074,16.84992475836316,4.691424914925847,-0.41321366288613703
2022-07-28,IM2208,2022-08-19,16.0,0.06557377049180328,7150.198,7119.0,0.08068493325382547,0.08453286603540455,0.07792996619361263,-0.0038479327815790776,0.0027549670602128457,7117.203935884607,7120.286188993605,1.7960641153931647,-1.28618899360481,-0.06981703448616927
2022-07-28,IM2209,2022-09-16,35.0,0.14344262295081966,7150.198,7074.0,0.08869159184692438,0.09932395270208572,0.09310831499844331,-0.010632360855161338,-0.004416723151518934,7063.219426996888,7069.5197124786855,10.780573003112295,4.480287521314494,-0.38701682749452526
