reference_model,reference_model_label,candidate_model,candidate_model_label,metric,n_dates,hac_lag,mean_gain,hac_standard_error,z_statistic,two_sided_p_value,median_gain,candidate_win_dates,candidate_win_rate
constant_carry,Constant carry noise,two_bucket_carry,Two carry-noise buckets,carry_squared_error,600,5,0.00013934038985252865,7.831392635765009e-05,1.7792542952855945,0.07519808043252635,6.333116296626292e-06,319,0.5316666666666666
constant_carry,Constant carry noise,two_bucket_carry,Two carry-noise buckets,carry_absolute_error,600,5,0.000597734167927742,0.00018091448089861445,3.3039597767893203,0.0009532950877476487,0.00014195119920406337,316,0.5266666666666666
constant_carry,Constant carry noise,two_bucket_carry,Two carry-noise buckets,futures_squared_error,600,5,57.56743261945572,15.126665534713357,3.805692172365904,0.00014140816871094318,28.232007937625028,395,0.6583333333333333
constant_carry,Constant carry noise,two_bucket_carry,Two carry-noise buckets,futures_absolute_error,600,5,0.9557570337116243,0.2003562057337446,4.77028914682952,1.8396166036572704e-06,0.7083679420181852,363,0.605
constant_carry,Constant carry noise,two_bucket_carry,Two carry-noise buckets,mean_log_predictive_score,600,5,0.1214793853517849,0.041873512062667456,2.901103331623584,0.0037185123606670485,0.14118268140381018,403,0.6716666666666666
constant_carry,Constant carry noise,constant_log_futures,Constant log-futures noise,carry_squared_error,600,5,0.00016039239387770143,8.202533472833694e-05,1.9554006625990805,0.05053579798594024,1.1083785762012445e-05,320,0.5333333333333333
constant_carry,Constant carry noise,constant_log_futures,Constant log-futures noise,carry_absolute_error,600,5,0.0008185663600215473,0.0001986821419713642,4.119979540685272,3.7890604283269614e-05,0.00034461242068897476,325,0.5416666666666666
constant_carry,Constant carry noise,constant_log_futures,Constant log-futures noise,futures_squared_error,600,5,88.07822662439588,19.937257860318542,4.417770349437043,9.972429533625694e-06,52.84825078289643,407,0.6783333333333333
constant_carry,Constant carry noise,constant_log_futures,Constant log-futures noise,futures_absolute_error,600,5,1.4452416031411952,0.23933752466783825,6.038508191086862,1.5554553334229662e-09,1.4532240035138102,388,0.6466666666666666
constant_carry,Constant carry noise,constant_log_futures,Constant log-futures noise,mean_log_predictive_score,600,5,0.3146124434799642,0.038853307261116576,8.09744306618707,5.612635680313995e-16,0.2930343611552928,485,0.8083333333333333
two_bucket_carry,Two carry-noise buckets,constant_log_futures,Constant log-futures noise,carry_squared_error,600,5,2.1052004025172798e-05,1.2847768818690556e-05,1.6385727609409473,0.10130226909284838,3.2581937008198847e-06,315,0.525
two_bucket_carry,Two carry-noise buckets,constant_log_futures,Constant log-futures noise,carry_absolute_error,600,5,0.0002208321920938053,9.978929030353569e-05,2.2129848946924606,0.02689868707067771,0.00021034977954868805,332,0.5533333333333333
two_bucket_carry,Two carry-noise buckets,constant_log_futures,Constant log-futures noise,futures_squared_error,600,5,30.510794004940156,10.27634128623851,2.96903276711902,0.002987387388852646,12.649460085483426,367,0.6116666666666667
two_bucket_carry,Two carry-noise buckets,constant_log_futures,Constant log-futures noise,futures_absolute_error,600,5,0.48948456942957097,0.12296897295883495,3.9805534489861167,6.875500265303376e-05,0.47752172174955376,352,0.5866666666666667
two_bucket_carry,Two carry-noise buckets,constant_log_futures,Constant log-futures noise,mean_log_predictive_score,600,5,0.19313305812817932,0.04265987950331754,4.527276222455338,5.9748818541737245e-06,0.1305956121250591,477,0.795
