window,cut_date,test_start,test_end,model,model_label,maturity_bucket,n_observations,carry_rmse_bps,carry_mae_bps,carry_mean_bias_bps,futures_rmse_points,futures_mae_points,futures_mean_bias_points,marginal_standardized_innovation_rms,mean_observation_noise_carry_bps
1,2024-03-04,2024-03-05,2024-08-27,two_bucket_carry,Two carry-noise buckets,43-63,43,145.08595349483474,113.18095823978679,88.70175494274584,15.542135731279965,12.244771234705906,-9.547873401488307,0.6156762871693288,31.6337613621622
1,2024-03-04,2024-03-05,2024-08-27,two_bucket_carry,Two carry-noise buckets,64-126,123,95.20143287640298,72.6239912492122,8.906954679125294,18.064555400714614,13.744386537226307,-0.7459846298810131,0.6976171609150262,31.63376136216219
1,2024-03-04,2024-03-05,2024-08-27,two_bucket_carry,Two carry-noise buckets,127-252,73,79.65598524087848,55.795159828134096,-32.081119703036094,23.943527941507924,16.320207193392665,9.505926357137195,0.8650508529019566,31.633761362162186
1,2024-03-04,2024-03-05,2024-08-27,constant_log_futures,Constant log-futures noise,6-10,28,603.635767787203,439.40948814817784,73.1689760316842,9.895334743890983,7.087037698329985,-1.7709281638271608,0.7919692252613133,262.8764322061998
1,2024-03-04,2024-03-05,2024-08-27,constant_log_futures,Constant log-futures noise,11-15,25,719.7827692968993,520.6446349861208,-271.8998060919456,18.945323509524375,14.038915669547315,7.3865335405111185,1.1465924191239205,156.45128036975646
1,2024-03-04,2024-03-05,2024-08-27,constant_log_futures,Constant log-futures noise,16-21,36,254.3444079188744,197.0372108569528,-60.101160753933264,9.490770438222553,7.324089655642663,2.026617396912343,0.4905093968761081,109.5663674208875
1,2024-03-04,2024-03-05,2024-08-27,constant_log_futures,Constant log-futures noise,22-42,116,239.03583994114908,180.81683818138677,-0.4223863028393567,15.343350109968325,11.568637272215327,-0.38361573923992276,0.6472520115113343,66.68055174282594
1,2024-03-04,2024-03-05,2024-08-27,constant_log_futures,Constant log-futures noise,43-63,43,142.9217813740208,113.36500637799878,83.80104890952906,15.575149814702964,12.369640522024298,-9.204301929505776,0.5935823898756052,38.61703053173193
1,2024-03-04,2024-03-05,2024-08-27,constant_log_futures,Constant log-futures noise,64-126,123,95.07222587760772,73.1585033922933,24.784477245613097,17.761354801226613,13.798981861502819,-4.3835866065342275,0.6830264792068957,21.857920613668416
1,2024-03-04,2024-03-05,2024-08-27,constant_log_futures,Constant log-futures noise,127-252,73,70.28986750922904,49.304377187020876,-7.1010153825144045,20.931773682857045,14.46033376569704,2.26406673783533,0.7932235918843282,14.025606501917409
2,2024-08-27,2024-08-28,2025-03-03,constant_carry,Constant carry noise,6-10,29,994.7934775307388,728.7264108976211,160.38352787934758,20.253362970658333,14.30006084961553,-2.94023434964044,1.1981098662899181,54.50172342710439
2,2024-08-27,2024-08-28,2025-03-03,constant_carry,Constant carry noise,11-15,32,763.0524587818328,489.5158560153691,-89.57280631529777,20.053784334123936,14.105031547292128,2.0249973336055973,1.1663800580669663,54.50172342710438
2,2024-08-27,2024-08-28,2025-03-03,constant_carry,Constant carry noise,16-21,36,352.157345526702,283.7070448808453,31.40562443734469,16.484909891590693,12.889941836638274,-1.9367255818868518,0.7366721278071207,54.50172342710439
2,2024-08-27,2024-08-28,2025-03-03,constant_carry,Constant carry noise,22-42,107,392.0685563776223,256.419247774495,-27.43414419376445,26.789392592841466,18.142035353692183,2.0871702110394565,1.2351399025349408,54.501723427104366
2,2024-08-27,2024-08-28,2025-03-03,constant_carry,Constant carry noise,43-63,43,320.60352054408276,190.48573154430423,-68.67596024061511,37.32783895322454,22.29040758142278,7.501462469735278,1.713527033513207,54.50172342710439
2,2024-08-27,2024-08-28,2025-03-03,constant_carry,Constant carry noise,64-126,128,124.87291850485026,86.28208962553704,7.974142227088079,27.874458369704275,18.68710128549062,-2.61434828916628,1.0583301258627247,54.501723427104366
2,2024-08-27,2024-08-28,2025-03-03,constant_carry,Constant carry noise,127-252,68,79.91189477272307,65.47619908624118,43.56017997225864,27.829601877952964,22.50755024504292,-15.750008503233255,0.8436591268910553,54.501723427104395
2,2024-08-27,2024-08-28,2025-03-03,two_bucket_carry,Two carry-noise buckets,6-10,29,722.3548724843681,583.1116930016747,60.9595919759226,14.150693043672215,11.139246908482948,-1.1154318872679203,1.008744732516146,325.9427627725861
2,2024-08-27,2024-08-28,2025-03-03,two_bucket_carry,Two carry-noise buckets,11-15,32,753.802180304706,487.93385802881477,-48.7154028146512,19.988426395488244,14.196725430802672,0.6105290760567357,1.1762224670313233,325.94276277258604
2,2024-08-27,2024-08-28,2025-03-03,two_bucket_carry,Two carry-noise buckets,16-21,36,354.3880554269891,282.6578534874466,26.865241423135185,16.637464494931745,12.901286806073914,-1.8009810976923544,0.7856695008890809,36.960149859244964
2,2024-08-27,2024-08-28,2025-03-03,two_bucket_carry,Two carry-noise buckets,22-42,107,400.85886936667094,259.67586419734016,-11.370905807878628,27.607260924282414,18.462559192489785,0.8830190072410439,1.2000899326703205,36.96014985924494
2,2024-08-27,2024-08-28,2025-03-03,two_bucket_carry,Two carry-noise buckets,43-63,43,330.41649427952854,201.4847050676791,-56.843748164005795,38.87903512538929,23.685056941336097,5.995858565400107,1.5993372407315898,36.96014985924496
2,2024-08-27,2024-08-28,2025-03-03,two_bucket_carry,Two carry-noise buckets,64-126,128,124.46420068542865,87.14808903435731,1.0897205289296261,27.703792164038788,18.815855882940134,-0.8394458031112393,1.0208543590399628,36.96014985924494
2,2024-08-27,2024-08-28,2025-03-03,two_bucket_carry,Two carry-noise buckets,127-252,68,75.36359295280923,60.49958671860024,38.85746982343866,26.155878244267274,20.83886763111313,-13.652749546564872,0.8208905297936979,36.96014985924496
2,2024-08-27,2024-08-28,2025-03-03,constant_log_futures,Constant log-futures noise,6-10,29,707.0537631194242,547.3333725289947,61.666628975953174,13.878633826120614,10.508288816544745,-0.9248559506670125,1.093715144811368,286.23217716311245
2,2024-08-27,2024-08-28,2025-03-03,constant_log_futures,Constant log-futures noise,11-15,32,743.0624987794388,477.50404472852796,-42.38757556511123,19.570468614826115,13.804855036579454,0.4319876357615726,1.363493069974453,170.03034909972064
2,2024-08-27,2024-08-28,2025-03-03,constant_log_futures,Constant log-futures noise,16-21,36,351.864353679264,283.6991450995121,88.87863536835005,16.5604216214623,12.955250542433255,-4.475676689062336,0.7849696544122805,119.9237543094611
2,2024-08-27,2024-08-28,2025-03-03,constant_log_futures,Constant log-futures noise,22-42,107,395.32860244418623,258.1443909336142,9.96776761802674,27.28526027847852,18.32489595635065,-0.6198310343488969,1.1609538141657403,73.8450227566332
2,2024-08-27,2024-08-28,2025-03-03,constant_log_futures,Constant log-futures noise,43-63,43,326.23539845722394,203.69731744662238,-42.02850044256635,38.62698603445791,23.962099569456196,4.222110890516718,1.519508299176328,42.26752598138538
2,2024-08-27,2024-08-28,2025-03-03,constant_log_futures,Constant log-futures noise,64-126,128,124.6018485628608,86.48630685547938,-9.811112195599904,27.612058432986487,18.595889768425828,1.8371016169185665,1.0208407185119972,24.14770340354212
2,2024-08-27,2024-08-28,2025-03-03,constant_log_futures,Constant log-futures noise,127-252,68,65.04313017840883,52.20267608969438,15.683236276642639,22.54834374105242,17.8683961306845,-5.547367842639367,0.7492417638607287,15.210485942088091
