model,model_label,windows,test_dates,carry_rmse_window_wins,futures_rmse_window_wins,log_score_window_wins,mean_kappa_gap,median_kappa_gap,min_kappa_gap,max_kappa_gap,gap_upper_bound_hits,eta_fast_upper_bound_hits,n_observations,carry_rmse_bps,carry_mae_bps,carry_mean_bias_bps,futures_rmse_points,futures_mae_points,futures_mean_bias_points,marginal_standardized_innovation_rms,comparison_log_predictive_score,mean_log_predictive_score,carry_rmse_bps_improvement_vs_constant_pct,carry_mae_bps_improvement_vs_constant_pct,futures_rmse_points_improvement_vs_constant_pct,futures_mae_points_improvement_vs_constant_pct,mean_log_score_gain_vs_constant
constant_carry,Constant carry noise,5,600,1,0,0,39.98161594469974,40.88795536662822,35.61980477725844,44.23209419486611,0,0,2219,385.4732729030312,207.34062855239844,8.727872375639986,28.43666888627464,20.36015910252451,-1.898502921643081,0.9874737711405286,6183.2921659450985,2.7865219314759346,0.0,0.0,0.0,0.0,0.0
two_bucket_carry,Two carry-noise buckets,5,600,1,0,0,18.66175371354319,17.82024988962856,16.801119908559066,21.541477395386277,0,0,2219,365.54461987598154,201.14755446865374,10.704456532794353,27.388946004374475,19.38311522827411,-1.1481439266833116,0.9503766276754783,6459.488352091033,2.9109906949486404,5.169918235047877,2.986908126488874,3.6844079244663597,4.79880274672928,0.12446876347270575
constant_log_futures,Constant log-futures noise,5,600,3,5,5,16.198733476804204,15.838138885861209,14.7880756376084,18.451923909585936,0,0,2219,362.5458265351647,198.79984533203717,8.186469409915277,26.84595100445805,18.88472914002853,-0.6779904947575637,0.9606651255879042,6872.968058090726,3.097326749928223,5.947869276434659,4.11920388203264,5.593896697880707,7.246652420869526,0.31080481845228825
