window,model,model_label,date,n_observations,carry_squared_error,carry_absolute_error,futures_squared_error,futures_absolute_error,comparison_log_likelihood,mean_log_predictive_score
1,constant_carry,Constant carry noise,2024-06-14,3,0.0008858758267223072,0.02653632220776188,1152.3371222595454,31.467468530257975,8.379863838239523,2.793287946079841
1,constant_carry,Constant carry noise,2024-06-17,3,0.00010536368041742322,0.008878992982797323,87.72371674278052,8.852955653201207,9.69043684787287,3.2301456159576234
1,constant_carry,Constant carry noise,2024-06-18,3,0.0001314163251749413,0.010518220413343818,309.52361550803465,14.29619244515076,9.442202097414146,3.1474006991380485
1,constant_carry,Constant carry noise,2024-06-19,3,0.0002286226595989889,0.012427155048378357,138.3713041908591,10.665424818240657,9.904570680556501,3.3015235601855006
1,constant_carry,Constant carry noise,2024-06-20,3,4.9017995768790546e-05,0.005901886065621763,36.83339280978549,5.152281801613451,10.02478907296545,3.3415963576551504
1,constant_carry,Constant carry noise,2024-06-21,3,0.00029880089045695535,0.013221384552148122,109.47602487855652,9.148815395981122,9.964144318475167,3.3213814394917223
1,constant_carry,Constant carry noise,2024-06-24,4,3.186063584005526e-05,0.004689087658709328,46.006899375202266,5.504309393808171,13.529547950004787,3.3823869875011967
1,constant_carry,Constant carry noise,2024-06-25,4,0.00021263078611929968,0.009653701893674822,48.88889441704013,6.057692196741073,12.772074587575583,3.1930186468938957
1,constant_carry,Constant carry noise,2024-06-26,4,0.00011964287121992375,0.009125527603859741,116.0922787698856,8.667953964634307,13.525888055323893,3.3814720138309733
1,constant_carry,Constant carry noise,2024-06-27,4,1.5715296206593e-05,0.003816639015874302,30.339204960443105,4.574083740727474,13.388556462721612,3.347139115680403
1,constant_carry,Constant carry noise,2024-06-28,4,0.0011935180910363785,0.027703949898746544,308.36763616835873,16.340259296876184,12.632751904017208,3.158187976004302
1,constant_carry,Constant carry noise,2024-07-01,4,0.0001501446456919459,0.009693845319037261,36.83609191033398,6.064881103461403,13.96980275891924,3.49245068972981
1,constant_carry,Constant carry noise,2024-07-02,4,2.1166165652856036e-05,0.003319888576693776,9.648441684134571,2.378471056349781,13.408521895367569,3.352130473841892
1,constant_carry,Constant carry noise,2024-07-03,4,3.39804602157984e-05,0.004774471379188454,10.775564302530267,3.0226296929959062,12.523868805757605,3.130967201439401
1,constant_carry,Constant carry noise,2024-07-04,4,4.6162103781544776e-05,0.0061565013528889975,20.051834297542875,4.085600235109496,13.988092586570243,3.4970231466425608
1,constant_carry,Constant carry noise,2024-07-05,4,8.556874527847852e-05,0.007225560772311703,13.972139603185795,3.7092073193846318,14.033142044314465,3.508285511078616
1,constant_carry,Constant carry noise,2024-07-08,4,0.00019391553590121947,0.012830438699981742,81.14904150482758,8.386650856210736,13.349117128790882,3.3372792821977204
1,constant_carry,Constant carry noise,2024-07-09,4,0.00011567700877391635,0.007628454213655263,18.593276005989292,3.8150675500821762,13.47984614193611,3.3699615354840273
1,constant_carry,Constant carry noise,2024-07-10,4,0.0004784189594445895,0.016643333424848163,91.85207676579998,8.305145374109998,13.184970262400412,3.296242565600103
1,constant_carry,Constant carry noise,2024-07-11,4,0.00044294660646150097,0.016505435851591206,140.10605104638043,9.524744726873223,12.456059035399145,3.114014758849786
1,constant_carry,Constant carry noise,2024-07-12,3,4.326604649134311e-05,0.006341995815741098,64.63095527912455,6.988492885586311,9.69843593455394,3.2328119781846465
1,constant_carry,Constant carry noise,2024-07-15,3,0.00040305268093559094,0.016873089400487647,161.80883891666198,12.404833510426215,10.253435619583195,3.4178118731943985
1,constant_carry,Constant carry noise,2024-07-16,3,0.0002947725728175602,0.015648089021815942,170.48029602609208,12.859238240942128,9.94109554672919,3.3136985155763967
1,constant_carry,Constant carry noise,2024-07-17,3,0.00012076379735729398,0.010368470502467425,115.94445353160722,9.934358360884895,9.041706137843736,3.013902045947912
1,constant_carry,Constant carry noise,2024-07-18,3,7.9998421899766e-05,0.007127066638833016,27.801153362156807,5.055829758093448,8.629257438478128,2.876419146159376
1,constant_carry,Constant carry noise,2024-07-19,3,0.00041802295012821795,0.016777493602386593,129.3188090890786,10.135594559570563,9.542684282382739,3.180894760794246
1,constant_carry,Constant carry noise,2024-07-22,4,3.7848669491204615e-05,0.005288160358324322,155.56703878267638,8.250043578465693,12.615823229199352,3.153955807299838
1,constant_carry,Constant carry noise,2024-07-23,4,0.0008405251483177732,0.02338022055828578,360.38801191431577,17.639013075217463,11.956233188660866,2.9890582971652164
1,constant_carry,Constant carry noise,2024-07-24,4,3.805840379552346e-05,0.005517287959841459,39.450936427052106,5.836057935804547,11.80015252226393,2.9500381305659826
1,constant_carry,Constant carry noise,2024-07-25,4,4.4657462129505605e-05,0.006292038755580577,73.86375433975206,7.324998446397785,11.154803058478553,2.7887007646196382
1,constant_carry,Constant carry noise,2024-07-26,4,0.0005047477755028578,0.016589546076333197,296.8040420698967,14.395085150235218,11.189235501021843,2.7973088752554607
1,constant_carry,Constant carry noise,2024-07-29,4,0.0008141718423324602,0.022313770879088264,250.87860216656304,13.778983227343815,10.566178054063116,2.641544513515779
1,constant_carry,Constant carry noise,2024-07-30,4,0.0001143039304501698,0.009646940740747251,116.84928619289646,9.438015744228323,11.76643627896581,2.9416090697414523
1,constant_carry,Constant carry noise,2024-07-31,4,0.013148720187166365,0.09268002356357526,6036.852695520752,74.17087519303368,5.23467030386851,1.3086675759671276
1,constant_carry,Constant carry noise,2024-08-01,4,0.002851652691025008,0.036990714806077574,372.03075056340253,16.74986893233654,12.34475400470833,3.0861885011770824
1,constant_carry,Constant carry noise,2024-08-02,4,2.6516850129783164e-05,0.004157818848596919,30.731551576233308,4.792214628106194,12.778966406080563,3.194741601520141
1,constant_carry,Constant carry noise,2024-08-05,4,0.0004366997785516234,0.01178450818050607,40.1583945884842,5.0346115565896525,9.86227173097721,2.4655679327443023
1,constant_carry,Constant carry noise,2024-08-06,4,0.0016709240688462064,0.029395940312854158,185.7454890159115,12.901488392589954,11.866120336419792,2.966530084104948
1,constant_carry,Constant carry noise,2024-08-07,4,0.0008557499370548665,0.02160165033761221,121.4785044034677,9.368517895944024,12.835608029657426,3.2089020074143564
1,constant_carry,Constant carry noise,2024-08-08,4,0.004829889889501375,0.046277355383863156,494.4494618791548,20.599120961818926,5.760414575955384,1.440103643988846
1,constant_carry,Constant carry noise,2024-08-09,3,0.0010158567432256046,0.02332636015077005,484.3003768865098,19.22632727198531,8.662353746700841,2.8874512489002804
1,constant_carry,Constant carry noise,2024-08-12,3,0.000398243561731249,0.018134698939146918,587.039513351706,22.709584591637697,9.737473615779546,3.245824538593182
1,constant_carry,Constant carry noise,2024-08-13,3,0.0001722314674256739,0.009863465277756925,76.35675540191767,8.352828819405659,10.076105460211188,3.358701820070396
1,constant_carry,Constant carry noise,2024-08-14,3,5.647877190548371e-05,0.006675965834138829,66.84600894225409,7.403863622948545,10.28474557700216,3.428248525667387
1,constant_carry,Constant carry noise,2024-08-15,3,7.521770034789791e-06,0.002336135348194527,15.590969619212395,3.0927772938290823,10.244712662294056,3.414904220764685
1,constant_carry,Constant carry noise,2024-08-16,3,5.061234739523471e-06,0.0021415691252863606,9.483380591248972,2.7588255660866707,10.433822236812505,3.4779407456041684
1,constant_carry,Constant carry noise,2024-08-19,4,6.799483864407404e-05,0.006889249813390078,48.498970535516065,6.19391441722837,10.491536681858278,2.6228841704645696
1,constant_carry,Constant carry noise,2024-08-20,4,9.872529101502493e-05,0.007259070273708149,51.7953278134186,5.709060563437561,10.939268288813441,2.7348170722033602
1,constant_carry,Constant carry noise,2024-08-21,4,0.0004963984230996224,0.01764597579665061,277.13873177467906,15.192703573166682,10.036375578287906,2.5090938945719765
1,constant_carry,Constant carry noise,2024-08-22,4,0.00017684415279257796,0.009861078062339136,72.4500466632883,7.6112501244303985,8.45599063838523,2.1139976595963077
1,constant_carry,Constant carry noise,2024-08-23,4,8.718615089833254e-05,0.007665269004297072,107.00310859262945,8.411398001679345,7.5895892528493984,1.8973973132123496
1,constant_carry,Constant carry noise,2024-08-26,4,9.56593567544851e-05,0.007535114936361324,86.7179791079514,7.1968347519680265,9.403484309763508,2.350871077440877
