date,open,high,low,close,volume
2022-07-22,7081.563,7124.304,6969.431,7034.598,17303097300
2022-07-25,7037.755,7068.341,6933.819,6948.909,16239084400
2022-07-26,6949.19,7031.112,6901.932,7027.419,14721844500
2022-07-27,7018.224,7109.539,7005.07,7099.434,15226912800
2022-07-28,7138.316,7196.731,7112.744,7150.198,18035430500
2022-07-29,7152.325,7179.471,7105.335,7117.434,17684117900
2022-08-01,7100.712,7180.454,7055.607,7180.454,16280303200
2022-08-02,7098.183,7098.183,6872.754,6957.982,22308828700
2022-08-03,6968.292,7079.854,6893.524,6916.67,19904630100
2022-08-04,6953.983,6977.392,6853.696,6960.312,15789606500
2022-08-05,6975.89,7096.435,6961.646,7090.003,17084849600
2022-08-08,7082.536,7176.484,7062.367,7176.105,15856130500
2022-08-09,7168.96,7207.396,7131.336,7207.396,16291287800
2022-08-10,7183.182,7231.432,7169.88,7212.075,15963661800
2022-08-11,7241.732,7295.892,7212.4,7294.486,17950620700
2022-08-12,7287.651,7311.894,7228.342,7228.835,18128890500
2022-08-15,7218.091,7296.337,7215.204,7283.5,16908259700
2022-08-16,7290.241,7356.11,7280.923,7324.62,18367482000
2022-08-17,7330.482,7342.696,7280.574,7328.674,18361214000
2022-08-18,7315.41,7358.707,7298.93,7351.437,17637769200
2022-08-19,7353.434,7369.731,7234.405,7234.405,19077446600
2022-08-22,7214.481,7289.309,7170.204,7288.577,17266760300
2022-08-23,7275.383,7310.13,7267.786,7306.021,17106706900
2022-08-24,7312.554,7315.101,7029.878,7039.41,20752160200
2022-08-25,7065.336,7080.725,6930.839,7016.306,17435131200
2022-08-26,7032.655,7103.834,6966.066,6980.18,16172503600
2022-08-29,6884.73,7022.794,6858.431,7021.315,15357144500
2022-08-30,7018.723,7025.464,6943.144,6976.722,15383292500
2022-08-31,6954.509,6966.992,6738.524,6750.743,16655993000
2022-09-01,6757.006,6819.617,6698.838,6717.1,13682129000
2022-09-02,6731.673,6801.35,6695.104,6776.827,12855538300
2022-09-05,6774.193,6831.221,6739.135,6791.092,13191103900
2022-09-06,6808.874,6919.646,6780.437,6919.646,14434432500
2022-09-07,6894.714,6989.755,6882.595,6963.52,14299835000
2022-09-08,6965.562,6975.132,6889.863,6897.1,13301460300
2022-09-09,6908.713,6918.204,6848.27,6913.579,13094077700
