cohort,scenario,entry_date,exit_date,exit_reason,initial_premium,option_payoff,option_pnl,futures_pnl,financing,transaction_costs,total_pnl,discounted_total_pnl,daily_discounted_pnl_variance,daily_discounted_pnl_std,worst_daily_discounted_pnl,max_drawdown,turnover_contracts,peak_abs_contracts,max_condition_number,conditioning_warning_days,mean_residual_factor_variance,rms_residual_scale_exposure,max_abs_futures_model_error,variance_reduction_vs_no_hedge
2024-08-19,no_hedge,2024-08-19,2024-09-20,expiry,20.0854284212312,0.0,-20.0854284212312,0.0,-0.025369746199598035,0.0,-20.110798167430804,-20.085428421231207,2.5000622343875643,1.5811585102030612,-5.2211748704714624,20.39893263805747,0.0,0.0,119.94172821871415,0,14.132125840884925,9.97275062757999,15.555999999999585,0.0
2024-08-19,one_futures,2024-08-19,2024-09-20,expiry,20.0854284212312,0.0,-20.0854284212312,-48.791326772022856,-0.07555722908889935,0.0,-68.95231242234296,-68.86532916829871,254.72556031416656,15.960124069510442,-29.077164319261176,91.92095440738312,1.7948234352068364,0.5412135836179708,119.94172821871415,0,0.0027553363452523464,1570.7977630986318,15.555999999999585,-100.88768775852742
2024-08-19,two_futures,2024-08-19,2024-09-20,expiry,20.0854284212312,0.0,-20.0854284212312,-47.8114986086257,-0.07448024404500889,0.0,-67.97140727390187,-67.88566143044943,247.05563695801297,15.718003593268865,-28.519438219057037,90.81007095428477,1.8007939074478057,0.5376727894105471,119.94172821871415,0,1.876727080249091e-31,1549.2791764039318,15.555999999999585,-97.81979478744206
2024-09-23,no_hedge,2024-09-23,2024-10-15,exercise,9.263830768243354,17.26696272022582,8.003131951982466,0.0,-0.005848689508314877,0.0,7.997283262474152,7.992237389321209,32.78444783321457,5.725770501270075,-6.481478611958772,9.262466046987234,0.0,0.0,31.257258259968374,0,1.789585612937816,2.982403682781942,115.67648761846158,0.0
2024-09-23,one_futures,2024-09-23,2024-10-15,exercise,9.263830768243354,17.26696272022582,8.003131951982466,88.67284037687071,0.04974637151264005,0.0,96.72571870036583,96.66468976201631,437.19335154251894,20.90916907824218,-14.383202691447565,26.7239066780579,0.8785581818783429,0.30759771573719696,31.257258259968374,0,0.0002864939403352511,501.82039206688637,115.67648761846158,-12.335388589329533
2024-09-23,two_futures,2024-09-23,2024-10-15,exercise,9.263830768243354,17.26696272022582,8.003131951982466,86.53467249034246,0.04847320622802234,0.0,94.58627764855294,94.52659858713177,416.60683960082014,20.41094901274363,-13.95777105455339,26.012029557281167,0.8616016129906333,0.3010229976447223,31.257258259968374,0,8.304605522914815e-33,489.815635761255,115.67648761846158,-11.707453293715306
2024-10-21,no_hedge,2024-10-21,2024-11-08,exercise,21.083986302902506,8.581261325322885,-12.502724977579621,0.0,-0.016943120979210684,0.0,-12.519668098558835,-12.509615354106101,11.270526000969284,3.3571604073933203,-5.638969194957078,18.611269702427602,0.0,0.0,26.39436353822313,0,21.479639828949363,12.378689046412319,12.22653932774756,0.0
2024-10-21,one_futures,2024-10-21,2024-11-08,exercise,21.083986302902506,8.581261325322885,-12.502724977579621,105.06476902168741,0.013634446512547848,0.0,92.57567849062035,92.50134428055357,836.2643716511801,28.918235970597863,-70.67754685416679,70.71099766577395,1.132448368482279,0.3752462476512509,26.39436353822313,0,0.0054773344706512215,1481.3276497952418,12.22653932774756,-73.19923183525418
2024-10-21,two_futures,2024-10-21,2024-11-08,exercise,21.083986302902506,8.581261325322885,-12.502724977579621,102.73972413065002,0.012772148634854444,0.0,90.24977130170525,90.17730469311216,812.6631768469399,28.50724779502469,-69.81562253641255,69.84871582787211,1.1230801510890176,0.37073427727714175,26.39436353822313,0,4.659406937922021e-31,1455.7902024973887,12.22653932774756,-71.10516854111773
2024-11-18,no_hedge,2024-11-18,2024-11-21,exercise,32.977381320381674,56.28926632394996,23.311885003568285,0.0,-0.005676923063197722,0.0,23.306208080505087,23.302196701414907,15.558405221561706,3.9444144332919313,3.310334367464265,0.0,0.0,0.0,12.926023480095465,0,90.31040021756046,33.43876031277166,8.72083046586431,0.0
2024-11-18,one_futures,2024-11-18,2024-11-21,exercise,32.977381320381674,56.28926632394996,23.311885003568285,72.72873237086843,0.0009286015775075214,0.0,96.04154597601422,96.02501565722595,394.57097166923296,19.863810602933995,9.078733363740426,0.0,0.9608284371622444,0.4804142185811222,12.926023480095465,0,0.045676655516775695,2053.3119586925045,8.72083046586431,-24.360630864814762
2024-11-18,two_futures,2024-11-18,2024-11-21,exercise,32.977381320381674,56.28926632394996,23.311885003568285,70.57723005639237,0.0007644230778370428,0.0,93.8898794830385,93.87371950119861,375.1266454006642,19.368186425183545,8.939495624654896,0.0,0.9611749226198105,0.4738934733631487,12.926023480095465,0,5.374801785115799e-31,2013.3938779847422,8.72083046586431,-23.110867409520402
2024-12-23,no_hedge,2024-12-23,2025-01-08,exercise,22.572875561550998,10.102701641256317,-12.47017392029468,0.0,-0.014251311770710932,0.0,-12.484425232065387,-12.47654820382456,9.855540131582922,3.139353457574174,-5.39017879926466,15.652037882775224,0.0,0.0,18.10013173620973,0,32.429223521350096,14.878943264117321,6.873460027200963,0.0
2024-12-23,one_futures,2024-12-23,2025-01-08,exercise,22.572875561550998,10.102701641256317,-12.47017392029468,-141.97039206335657,-0.0414379538542517,0.0,-154.48200393750545,-154.3845337628602,909.6426056057683,30.160281921854914,-61.72595665513691,185.64120049931688,1.2815908801287688,0.38954335595575357,18.10013173620973,0,0.00562317157871403,1758.0567564022879,6.873460027200963,-91.29759033609336
2024-12-23,two_futures,2024-12-23,2025-01-08,exercise,22.572875561550998,10.102701641256317,-12.47017392029468,-139.32149011736954,-0.04093338987801867,0.0,-151.8325974275422,-151.7367988917199,875.3829517837136,29.586871273990997,-60.84867175252659,182.2730284495949,1.2820995361056138,0.383358111861433,18.10013173620973,0,6.628324616255629e-31,1721.6768102056499,6.873460027200963,-87.82140807062152
2025-01-20,no_hedge,2025-01-20,2025-02-10,exercise,21.80967136980999,12.58995934840641,-9.21971202140358,0.0,-0.011265279689076422,0.0,-9.230977301092658,-9.226211715509844,13.226971092120735,3.6368903052086594,-6.487974716975695,13.59819810749349,0.0,0.0,19.433423621664218,0,28.76908298722254,14.373668796498428,7.264750156480659,0.0
2025-01-20,one_futures,2025-01-20,2025-02-10,exercise,21.80967136980999,12.58995934840641,-9.21971202140358,111.1133633885793,0.0010199672068160423,0.0,101.89467133438252,101.84206717765699,499.3956749019817,22.347162569372912,-17.363359301783774,24.873436537617856,0.9260974271023362,0.31090872401323993,19.433423621664218,0,0.005289048597386329,1574.3446230095096,7.264750156480659,-36.75586046298008
2025-01-20,two_futures,2025-01-20,2025-02-10,exercise,21.80967136980999,12.58995934840641,-9.21971202140358,109.62205230533179,0.0008747926141739314,0.0,100.40321507654238,100.35138089922508,482.80029197696393,21.97271699123629,-16.912148685148075,24.49255509729309,0.9227092768352203,0.30684125541315427,19.433423621664218,0,7.556634551990995e-31,1548.1584031745901,7.264750156480659,-35.5011980909648
2025-02-24,no_hedge,2025-02-24,2025-03-05,exercise,20.33757332747111,24.16201104358788,3.8244377161167726,0.0,-0.008170010204074133,0.0,3.8162677059127006,3.8147352504215783,42.916729106652646,6.551086101300505,-8.869382258816996,14.460112941406239,0.0,0.0,15.833918673059735,0,44.68874383881221,16.382225178373183,10.835964196119676,0.0
2025-02-24,one_futures,2025-02-24,2025-03-05,exercise,20.33757332747111,24.16201104358788,3.8244377161167726,-22.74293181690532,-0.014599694398775606,0.0,-18.933093795187318,-18.925491046694226,976.1807717672365,31.24389175130455,-66.86856988098566,75.69975233769482,1.24829476358193,0.39633678475742373,15.833918673059735,0,0.0075051996781973105,1772.1709878535391,10.835964196119676,-21.745926637170395
2025-02-24,two_futures,2025-02-24,2025-03-05,exercise,20.33757332747111,24.16201104358788,3.8244377161167726,-23.120663446370244,-0.014687476358212347,0.0,-19.31091320661168,-19.303158741447664,945.7783442952149,30.753509463071282,-65.92148741058054,74.56104265857633,1.239853840037985,0.3917675199984801,15.833918673059735,0,3.8413272388708066e-31,1743.6485122637494,10.835964196119676,-21.03752159081963
2025-03-24,no_hedge,2025-03-24,2025-04-08,exercise,23.443481425075692,36.46368582928153,13.020204404205838,0.0,-0.013455037549472075,0.0,13.006749366656368,12.99928861825882,157.22571707187606,12.538967942852237,-9.01546652822925,22.42887482028004,0.0,0.0,17.430657436852183,0,35.682427844827686,14.938643039261878,35.55739856611126,0.0
2025-03-24,one_futures,2025-03-24,2025-04-08,exercise,23.443481425075692,36.46368582928153,13.020204404205838,-206.71626266609417,-0.03167499823472931,0.0,-193.72773326012307,-193.61660988603958,3597.6332022782185,59.98027344284301,-184.07492932308855,225.31838006921245,1.054960722552078,0.3678234237663115,17.430657436852183,0,0.005966673698905514,1682.938898942144,35.55739856611126,-21.881964027764955
2025-03-24,two_futures,2025-03-24,2025-04-08,exercise,23.443481425075692,36.46368582928153,13.020204404205838,-203.1953355473993,-0.0313486216302378,0.0,-190.2064797648237,-190.09737620258036,3488.4877879595524,59.06342174272967,-181.1224271973801,221.86628188957425,1.0525313039632602,0.3628023744362429,17.430657436852183,0,6.025783109979024e-31,1651.6407537451937,35.55739856611126,-21.187768343042652
2025-04-21,no_hedge,2025-04-21,2025-05-13,exercise,21.003350234220164,7.598553222403098,-13.404797011817067,0.0,-0.01567227763358498,0.0,-13.420469289450654,-13.410462671847068,5.4560888063094275,2.3358272209881936,-4.369013542836395,16.274905994546387,0.0,0.0,35.186206123753834,0,38.54931078172403,12.680871350479297,9.75103758467958,0.0
2025-04-21,one_futures,2025-04-21,2025-05-13,exercise,21.003350234220164,7.598553222403098,-13.404797011817067,113.32030149210372,0.01373992974579071,0.0,99.92924441003248,99.85473481467783,627.1334210602787,25.042632071335447,-30.40806148145144,30.7456291155092,1.3727345573609047,0.49886160155800907,35.186206123753834,0,0.0026329948789897786,2153.3890213049817,9.75103758467958,-113.94193795655615
2025-04-21,two_futures,2025-04-21,2025-05-13,exercise,21.003350234220164,7.598553222403098,-13.404797011817067,112.36204459251836,0.0135143635375561,0.0,98.97076194423884,98.89696701595791,616.7711757039406,24.834878209967943,-30.207885416907757,30.36545575445172,1.3767633198176372,0.4957364845936352,35.186206123753834,0,5.403736188950013e-31,2133.542990420877,9.75103758467958,-112.04273035121892
