cohort,scenario,date,elapsed_sessions,cash,equity,discounted_equity,discounted_pnl_change,contracts_1,contracts_2
2024-08-19,no_hedge,2024-08-19,0,-20.0854284212312,0.0,0.0,0.0,0.0,0.0
2024-08-19,no_hedge,2024-08-20,1,-20.086580896908043,0.288134470626666,0.28811793879525266,0.28811793879525266,0.0,0.0
2024-08-19,no_hedge,2024-08-21,2,-20.087733438712437,-4.933623052658296,-4.93305693167621,-5.2211748704714624,0.0,0.0
2024-08-19,no_hedge,2024-08-22,3,-20.088886046648177,-7.007007840893474,-7.005801820392817,-2.072744888716607,0.0,0.0
2024-08-19,no_hedge,2024-08-23,4,-20.090038720719058,-7.745795145187957,-7.744017625697461,-0.7382158053046446,0.0,0.0
2024-08-19,no_hedge,2024-08-26,5,-20.091191460928872,-7.5532942099743074,-7.551127592107721,0.1928900335897401,0.0,0.0
2024-08-19,no_hedge,2024-08-27,6,-20.092344267281415,-9.083570240858016,-9.080443648334198,-1.5293160562264765,0.0,0.0
2024-08-19,no_hedge,2024-08-28,7,-20.09349713978048,-9.244568108360678,-9.240855871627716,-0.1604122232935179,0.0,0.0
2024-08-19,no_hedge,2024-08-29,8,-20.09465007842987,-11.246670940867517,-11.241509719167311,-2.0006538475395956,0.0,0.0
2024-08-19,no_hedge,2024-08-30,9,-20.09580308323337,-13.163956647478258,-13.157160621449187,-1.9156509022818753,0.0,0.0
2024-08-19,no_hedge,2024-09-02,10,-20.096956154194785,-11.929093911105221,-11.922251312253456,1.2349093091957304,0.0,0.0
2024-08-19,no_hedge,2024-09-03,11,-20.098109291317908,-9.74436959353621,-9.738221399041825,2.1840299132116314,0.0,0.0
2024-08-19,no_hedge,2024-09-04,12,-20.09926249460653,-12.680510766494116,-12.671782928026046,-2.933561528984221,0.0,0.0
2024-08-19,no_hedge,2024-09-05,13,-20.100415764064454,-14.592608226376797,-14.581727634408594,-1.9099447063825483,0.0,0.0
2024-08-19,no_hedge,2024-09-06,14,-20.101569099695475,-14.396415497284671,-14.384855806972576,0.19687182743601817,0.0,0.0
2024-08-19,no_hedge,2024-09-09,15,-20.10272250150339,-13.497840481531497,-13.486228485356786,0.8986273216157894,0.0,0.0
2024-08-19,no_hedge,2024-09-10,16,-20.103875969491995,-14.709919249538245,-14.696421258122063,-1.2101927727652768,0.0,0.0
2024-08-19,no_hedge,2024-09-11,17,-20.10502950366509,-15.499915493869924,-15.484804094940708,-0.788382836818645,0.0,0.0
2024-08-19,no_hedge,2024-09-12,18,-20.10618310402647,-17.706612212829892,-17.688334496072084,-2.203530401131376,0.0,0.0
2024-08-19,no_hedge,2024-09-13,19,-20.107336770579934,-18.954142650136852,-18.93349078641553,-1.245156290343445,0.0,0.0
