cohort,scenario,total_pnl,futures_pnl,financing,transaction_costs
2024-08-19,no_hedge,-20.110798167430804,0.0,-0.025369746199598035,0.0
2024-08-19,one_futures,-69.31150157727919,-48.791326772022856,-0.075781696983792,0.3589646870413674
2024-08-19,two_futures,-68.33179161155891,-47.811498608625655,-0.07470580021251395,0.3601587814895612
2024-09-23,no_hedge,7.997283262474152,0.0,-0.005848689508314877,0.0
2024-09-23,one_futures,96.54992463323984,88.6728403768706,0.04966394076247459,0.17571163637566856
2024-09-23,two_futures,94.413876583667,86.53467249034236,0.04839246394029685,0.17232032259812666
2024-10-21,no_hedge,-12.519668098558832,0.0,-0.016943120979210677,0.0
2024-10-21,one_futures,92.34909690646623,105.06476902168738,0.013542536054911767,0.22648967369645578
2024-10-21,two_futures,90.02506437886385,102.73972413064996,0.012681256011296245,0.22461603021780352
2024-11-18,no_hedge,23.306208080505087,0.0,-0.005676923063197722,0.0
2024-11-18,one_futures,95.84936744735326,72.72873237086841,0.0009157603489965307,0.19216568743244888
2024-11-18,two_futures,93.69763167647544,70.57723005639237,0.0007516010387425042,0.1922349845239621
2024-12-23,no_hedge,-12.484425232065393,0.0,-0.014251311770710933,0.0
2024-12-23,one_futures,-154.73839278145695,-141.97039206335654,-0.041508621779976135,0.25631817602575374
2024-12-23,two_futures,-152.0890881647782,-139.32149011736945,-0.041004219892946905,0.25641990722112273
2025-01-20,no_hedge,-9.230977301092658,0.0,-0.011265279689076422,0.0
2025-01-20,one_futures,101.7094028129894,111.11336338857929,0.0009709312341697547,0.1852194854204673
2025-01-20,two_futures,100.21862429283146,109.62205230533176,0.0008258642703054698,0.18454185536704412
2025-02-24,no_hedge,3.8162677059127006,0.0,-0.008170010204074133,0.0
2025-02-24,one_futures,-19.182797259709552,-22.742931816905305,-0.01464420620462914,0.249658952716386
2025-02-24,two_futures,-19.5589281503208,-23.120663446370234,-0.014731652059745116,0.24797076800759704
2025-03-24,no_hedge,13.006749366656372,0.0,-0.013455037549472073,0.0
2025-03-24,one_futures,-193.93879454404518,-206.71626266609414,-0.031744137646470674,0.21099214451041562
2025-03-24,two_futures,-190.41705497586983,-203.1953355473992,-0.031417571883803855,0.21050626079265194
2025-04-21,no_hedge,-13.420469289450654,0.0,-0.01567227763358498,0.0
2025-04-21,one_futures,99.65460251854783,113.32030149210375,0.013644949733308976,0.27454691147218097
2025-04-21,two_futures,98.69531388576759,112.36204459251833,0.013418969029835491,0.2753526639635274
2025-05-19,no_hedge,-31.194058600397362,0.0,-0.04113877897188483,0.0
2025-05-19,one_futures,3.890037495596147,35.3436582164614,-0.014410704691764552,0.2862901947480167
2025-05-19,two_futures,2.214229214117614,33.6731893398112,-0.01604900054177277,0.2899913037263499
2025-06-23,no_hedge,6.369243727563823,0.0,-0.008732411872189596,0.0
2025-06-23,one_futures,81.5132457749997,75.32631604438167,0.008392363409686191,0.19943877222765194
2025-06-23,two_futures,80.14764115150264,73.95937292094045,0.008235097148971374,0.1979430060228026
2025-07-21,no_hedge,-16.697671739515876,0.0,-0.019106152349860756,0.0
2025-07-21,one_futures,61.79885910178132,78.68533035566242,0.005364736152874559,0.21327040286795834
2025-07-21,two_futures,60.62773815256732,77.51406357683793,0.004988073358099866,0.2127479104627021
2025-08-18,no_hedge,48.774370627807436,0.0,-0.022691636381528872,0.0
2025-08-18,one_futures,113.53874292279382,65.07306217442252,-0.00014627176030631423,0.33123524405734295
2025-08-18,two_futures,111.30626527954679,62.842696343898155,-0.0007078849179157098,0.33278544362239726
2025-09-22,no_hedge,0.08292487986504682,0.0,-0.00709960573867037,0.0
2025-09-22,one_futures,29.262010771661384,29.33079594365982,0.005478050092739873,0.1642877076948934
2025-09-22,two_futures,28.887192300650447,28.954830104415173,0.00533675320331307,0.1629990425717496
2025-10-20,no_hedge,-10.514159130315583,0.0,-0.03603132638123639,0.0
2025-10-20,one_futures,93.94053174526329,104.68763399935307,0.027619471673758354,0.2965939218292108
2025-10-20,two_futures,92.37656337280113,103.12514345727301,0.02663719797160361,0.2970894785091745
2025-11-24,no_hedge,19.813406453352837,0.0,-0.00868059575072536,0.0
2025-11-24,one_futures,96.73688291714508,77.10118178614886,-0.0007084376566411806,0.1856774804506982
2025-11-24,two_futures,95.13572511932608,75.50014727439608,-0.0009121456301858628,0.1855970585433716
2025-12-22,no_hedge,-19.05774588417869,0.0,-0.022842230380307353,0.0
2025-12-22,one_futures,194.24235793913192,213.43471519366184,0.06287309421825117,0.22032669494984078
2025-12-22,two_futures,190.98769658262466,210.1790522176326,0.061485260320888004,0.2179372415304244
2026-01-19,no_hedge,11.292106854746628,0.0,-0.021177588802397174,0.0
2026-01-19,one_futures,-4.5093881101248785,-15.607691861903604,-0.0028754408552722306,0.21210525091502552
2026-01-19,two_futures,-3.4626127198652,-14.562931818170817,-0.002895348079641879,0.21006999716376756
2026-02-25,no_hedge,11.574680703806528,0.0,-0.004201602305489679,0.0
2026-02-25,one_futures,18.364444829137256,6.975158511679133,-0.0004871158195939027,0.18910887283429795
2026-02-25,two_futures,17.595918070088366,6.2049846802586615,-0.0006013269428926027,0.1873475893394182
2026-03-23,no_hedge,31.0137134088067,0.0,-0.0032366589284085825,0.0
2026-03-23,one_futures,145.63095003036563,114.77731938915511,0.0010434191752240582,0.16436284569983176
2026-03-23,two_futures,143.72488059604433,112.8694180202063,0.0009853138607947372,0.16247280575788525
2026-04-20,no_hedge,3.3683626469840995,0.0,-0.014934909810511494,0.0
2026-04-20,one_futures,102.2428603076522,99.03732087681126,0.006911752864516881,0.18466987881820068
2026-04-20,two_futures,101.40032651369953,98.19397216612504,0.006778012825239215,0.18372122204538016
2026-05-18,no_hedge,31.45246034899766,0.0,-0.010440135520519478,0.0
2026-05-18,one_futures,21.393055076385746,-9.830843933981804,-0.015170495313520183,0.2238309788371089
2026-05-18,two_futures,20.459546283828157,-10.76412635264095,-0.015255203885803786,0.22397264416326196
2026-06-23,no_hedge,20.639334150496026,0.0,-0.0015777584457915828,0.0
2026-06-23,one_futures,41.478586353459754,20.9611226916415,-0.0015812547303018713,0.1218669923932626
2026-06-23,two_futures,41.006817543395925,20.487011083958453,-0.001581187518894781,0.11952426198545284
2026-07-20,no_hedge,-7.194631326841677,0.0,-0.030264744189850392,0.0
2026-07-20,one_futures,231.88646508084742,239.3005295422873,0.04807458118025529,0.29777245996828683
2026-07-20,two_futures,228.7896881618877,236.2046029398607,0.04728133022707305,0.2978295255482568
