date,spot,log_return
2024-08-05,4678.775,
2024-08-06,4749.947,0.015097136559829138
2024-08-07,4743.41,-0.0013771737506917958
2024-08-08,4739.493,-0.0008261183780469139
2024-08-09,4702.745,-0.007783787178093249
2024-08-12,4674.102,-0.006109322054371091
2024-08-13,4697.586,0.005011701019972392
2024-08-14,4649.278,-0.010336821021722287
2024-08-15,4691.85,0.009115022244127857
2024-08-16,4655.651,-0.007745210395693647
2024-08-19,4663.612,0.001708504618123996
2024-08-20,4579.304,-0.018243233680436788
2024-08-21,4548.264,-0.0068013998157283595
2024-08-22,4491.839,-0.01248342695912008
2024-08-23,4495.344,0.000779999734666248
2024-08-26,4512.893,0.0038962168069556213
2024-08-27,4459.68,-0.01186139670052988
2024-08-28,4470.55,0.002434428982986958
2024-08-29,4542.464,0.01595815254347599
2024-08-30,4629.32,0.018940392955967056
2024-09-02,4532.515,-0.021133015988130666
2024-09-03,4572.397,0.00876060198542028
2024-09-04,4550.77,-0.004741125644516231
2024-09-05,4586.781,0.007882021437810138
2024-09-06,4508.228,-0.017274299200979115
2024-09-09,4475.532,-0.0072789443086112016
2024-09-10,4487.576,0.0026874622617363286
2024-09-11,4486.007,-0.0003496930971707002
2024-09-12,4468.744,-0.0038556117050259076
2024-09-13,4413.187,-0.012510280610591451
2024-09-18,4399.133,-0.0031896281376813107
2024-09-19,4482.275,0.018723253980095222
2024-09-20,4463.356,-0.004229780594954491
2024-09-23,4469.133,0.0012934806425075607
2024-09-24,4642.558,0.03807107735408444
2024-09-25,4686.258,0.00936888875302877
2024-09-26,4874.132,0.0393076411263209
2024-09-27,5136.441,0.05241838987275038
2024-09-30,5708.826,0.10565297113782712
2024-10-08,6201.985,0.08285600377535474
2024-10-09,5727.38,-0.07961121852419417
2024-10-10,5654.53,-0.012801189752428499
2024-10-11,5416.758,-0.04295951232011319
2024-10-14,5615.756,0.036078736982258164
2024-10-15,5507.176,-0.019524249392048887
2024-10-16,5524.255,0.0030964275887548354
2024-10-17,5505.615,-0.0033799161268479594
2024-10-18,5749.434,0.04333293462556931
2024-10-21,5860.571,0.019145623933335187
2024-10-22,5888.815,0.004807749852410836
2024-10-23,5903.578,0.0025038188114265836
2024-10-24,5861.632,-0.007130544669815109
2024-10-25,5974.909,0.019140804467085104
2024-10-28,6082.088,0.017779190499123132
2024-10-29,5983.836,-0.016286224195694032
2024-10-30,6019.347,0.005916947796944072
2024-10-31,6116.663,0.016037904700803907
2024-11-01,5930.232,-0.030953351030035492
2024-11-04,6053.112,0.02050918461269724
2024-11-05,6266.542,0.03465216739298249
2024-11-06,6293.193,0.004243885718917539
2024-11-07,6403.918,0.01744141748349115
2024-11-08,6423.122,0.0029943017794185067
2024-11-11,6579.005,0.02397922576277267
2024-11-12,6491.972,-0.013317181455064997
2024-11-13,6474.394,-0.0027113241703027313
2024-11-14,6272.191,-0.03172927708157225
2024-11-15,6125.513,-0.023663227364984607
2024-11-18,5974.558,-0.024952387839668688
2024-11-19,6130.285,0.0257311213405238
2024-11-20,6250.803,0.019468693969038497
2024-11-21,6262.164,0.0018158767815528165
2024-11-22,6030.488,-0.03769787612258568
2024-11-25,6052.129,0.0035821748121929176
2024-11-26,5981.57,-0.01172703565613098
2024-11-27,6118.664,0.022660696729092322
2024-11-28,6086.085,-0.0053387541818867845
2024-11-29,6189.128,0.01678918654056538
2024-12-02,6313.608,0.019913099553024338
2024-12-03,6303.276,-0.001637805706948825
2024-12-04,6204.945,-0.01572294344655134
2024-12-05,6285.601,0.012914907175478163
2024-12-06,6349.621,0.010133664110743013
2024-12-09,6303.272,-0.007326262430517261
2024-12-10,6362.02,0.009277073334034824
2024-12-11,6447.374,0.013326979136564887
2024-12-12,6490.146,0.006612110486795331
2024-12-13,6354.988,-0.021045010248197826
2024-12-16,6277.516,-0.012265655530987019
2024-12-17,6143.944,-0.021507479611200253
2024-12-18,6195.868,0.008415737040047944
2024-12-19,6207.186,0.0018250348892223656
2024-12-20,6271.753,0.010348247745318062
2024-12-23,6096.381,-0.028360584463786864
2024-12-24,6164.361,0.011089165177974536
2024-12-25,6094.687,-0.011367073563178565
2024-12-26,6160.452,0.010732743430775571
2024-12-27,6171.565,0.0018023009550152125
2024-12-30,6145.928,-0.004162703728759709
2024-12-31,5957.717,-0.031102394700951663
2025-01-02,5797.089,-0.02733145899376055
2025-01-03,5625.209,-0.030097792052627526
2025-01-06,5608.034,-0.003057890474403635
2025-01-07,5692.041,0.014868670812337115
2025-01-08,5661.779,-0.005330729509907428
2025-01-09,5672.78,0.0019411436217939837
2025-01-10,5544.916,-0.022797825500708413
2025-01-13,5559.473,0.002621847692624968
2025-01-14,5811.055,0.044258818258775534
2025-01-15,5775.571,-0.006125011877326614
2025-01-16,5801.305,0.004445766264696616
2025-01-17,5841.572,0.006917046456736742
2025-01-20,5879.15,0.006412254937510298
2025-01-21,5908.023,0.004899064050043478
2025-01-22,5855.739,-0.0088890516943394
2025-01-23,5829.033,-0.004571085597804725
2025-01-24,5938.13,0.018543148599334813
2025-01-27,5846.069,-0.015624799433568981
2025-02-05,5881.437,0.00603165024623209
2025-02-06,6041.834,0.0269064884329957
2025-02-07,6134.055,0.015148423827744395
2025-02-10,6210.547,0.012392943733598116
2025-02-11,6190.174,-0.003285779646118314
2025-02-12,6284.611,0.015140750573722883
2025-02-13,6212.497,-0.011541038204510912
2025-02-14,6248.835,0.005832137848424068
2025-02-17,6281.566,0.005224266077961559
2025-02-18,6142.138,-0.022446422434025948
2025-02-19,6288.529,0.023554290069423445
2025-02-20,6334.414,0.007270127434335194
2025-02-21,6449.228,0.017963126200424284
2025-02-24,6464.024,0.002291600361399304
2025-02-25,6435.428,-0.004433683980364478
2025-02-26,6524.406,0.013731564479284586
2025-02-27,6499.53,-0.0038200479871530746
2025-02-28,6270.419,-0.03588668802659534
2025-03-03,6273.67,0.0005183317932111464
2025-03-04,6357.628,0.013293841450240151
2025-03-05,6398.237,0.006367131855329333
2025-03-06,6534.971,0.021145425755738856
2025-03-07,6507.765,-0.004171830121858733
2025-03-10,6520.973,0.002027518632219838
2025-03-11,6551.734,0.004706149502796464
2025-03-12,6566.968,0.002322486911831234
2025-03-13,6466.851,-0.015362952198321622
2025-03-14,6571.171,0.01600276886389196
2025-03-17,6589.566,0.0027954379726491396
2025-03-18,6611.926,0.0033874991375260066
2025-03-19,6564.677,-0.007171681883875181
2025-03-20,6535.062,-0.004521471832889645
2025-03-21,6405.611,-0.020007509384628364
2025-03-24,6360.341,-0.00709233275529364
2025-03-25,6310.764,-0.007825245388596969
2025-03-26,6334.908,0.003818544295238979
2025-03-27,6328.767,-0.0009698607207422327
2025-03-28,6268.321,-0.009596894762390562
2025-03-31,6226.649,-0.006670228820976121
2025-04-01,6259.484,0.005259446730146777
2025-04-02,6277.253,0.0028347108021318235
2025-04-03,6203.257,-0.011857987703651318
2025-04-07,5496.443,-0.12097332095068225
2025-04-08,5530.019,0.006090095585637556
2025-04-09,5652.33,0.021876598196707064
2025-04-10,5784.585,0.02312877129113744
2025-04-11,5862.188,0.013326291919090849
2025-04-14,5938.526,0.012938041692580171
2025-04-15,5914.029,-0.0041336293957634496
2025-04-16,5835.348,-0.013393420973848436
2025-04-17,5839.564,0.0007222324559297277
2025-04-18,5831.687,-0.0013498126629247764
2025-04-21,5952.637,0.020527990797765128
2025-04-22,5949.312,-0.0005587320339728308
2025-04-23,5984.583,0.005911079777369821
2025-04-24,5920.478,-0.010769473517516559
2025-04-25,5939.502,0.003208102596484963
2025-04-28,5877.057,-0.010569165066669939
2025-04-29,5903.381,0.0044691112187837945
2025-04-30,5950.117,0.007885645601557911
2025-05-06,6102.922,0.025356789651226563
2025-05-07,6111.495,0.0014037512241102945
2025-05-08,6158.077,0.007593129378802743
2025-05-09,6082.082,-0.012417481912503803
2025-05-12,6167.461,0.013940174360190127
2025-05-13,6151.01,-0.00267094995476036
2025-05-14,6160.37,0.0015205446998471928
2025-05-15,6057.036,-0.016916269159114705
2025-05-16,6068.117,0.0018277712594478857
2025-05-19,6095.337,0.004475709850044751
2025-05-20,6146.017,0.008280177104106556
2025-05-21,6132.181,-0.0022537518708443116
2025-05-22,6066.103,-0.01083408885017434
2025-05-23,5989.675,-0.012679235449901682
2025-05-26,6028.786,0.006508510210087692
2025-05-27,6008.46,-0.003377187658843539
2025-05-28,5984.456,-0.0040030351340600845
2025-05-29,6089.578,0.017413344418988785
2025-05-30,6026.56,-0.010402418372159161
2025-06-03,6070.037,0.007188333580479878
2025-06-04,6123.172,0.008715562301714996
2025-06-05,6167.015,0.007134665400915452
2025-06-06,6152.845,-0.002300351830056613
2025-06-09,6218.964,0.010688756915687492
2025-06-10,6161.692,-0.009251918239241874
2025-06-11,6186.512,0.004020023223695546
2025-06-12,6192.22,0.0009222269945841077
2025-06-13,6106.008,-0.0140204608734944
2025-06-16,6147.46,0.006765783878467602
2025-06-17,6141.468,-0.0009751868470306846
2025-06-18,6135.386,-0.0009908076609139727
2025-06-19,6048.224,-0.014308318640637196
2025-06-20,5999.591,-0.00807337499047911
2025-06-23,6078.222,0.013020918762391531
2025-06-24,6194.666,0.01897638018020764
2025-06-25,6276.163,0.01307020730964581
2025-06-26,6247.791,-0.0045308452165091495
2025-06-27,6276.937,0.0046541613696486905
2025-06-30,6356.181,0.012545602655265498
2025-07-01,6373.768,0.0027630921678092335
2025-07-02,6309.484,-0.010136919217407225
2025-07-03,6342.638,0.005240871987478357
2025-07-04,6312.197,-0.004810976787025467
2025-07-07,6327.139,0.002364365811743596
2025-07-08,6407.698,0.012651920805023309
2025-07-09,6390.466,-0.0026928878881946616
2025-07-10,6406.568,0.0025165219530833838
2025-07-11,6461.1,0.008475867805422865
2025-07-14,6462.305,0.00018648336154392098
2025-07-15,6442.834,-0.0030175598689332617
2025-07-16,6462.063,0.002980111229273774
2025-07-17,6535.671,0.011326403035061716
2025-07-18,6552.074,0.0025066210548168044
2025-07-21,6612.259,0.009143709647196019
2025-07-22,6637.104,0.00375037337584061
2025-07-23,6607.22,-0.004512733260682467
2025-07-24,6701.12,0.014111686095013454
2025-07-25,6706.61,0.0008189306179087197
2025-07-28,6729.979,0.003478416071597934
2025-07-29,6773.884,0.006502606655011789
2025-07-30,6718.482,-0.008212393789886363
2025-07-31,6661.186,-0.008564689383923962
2025-08-01,6670.472,0.0013930752651685196
2025-08-04,6739.694,0.010323901258580293
2025-08-05,6787.481,0.007065362692676658
2025-08-06,6861.309,0.010818353868421227
2025-08-07,6862.15,0.000122563852313462
2025-08-08,6838.13,-0.003506501270278406
2025-08-11,6943.937,0.015354602293008668
2025-08-12,6963.611,0.0028292569076437957
2025-08-13,7064.334,0.014360582533212707
2025-08-14,6976.488,-0.012513105888661613
2025-08-15,7117.501,0.020011042380373212
2025-08-18,7237.602,0.016733255395235958
2025-08-19,7242.849,0.0007247012167841405
2025-08-20,7305.461,0.008607513391277521
2025-08-21,7253.343,-0.0071596846327821595
2025-08-22,7362.94,0.014996843461675624
2025-08-25,7477.728,0.015469693030526699
2025-08-26,7476.467,-0.00016864832951490882
2025-08-27,7336.504,-0.018897919317673484
2025-08-28,7447.11,0.014963602783815588
2025-08-29,7438.677,-0.001133027216114968
2025-09-01,7501.148,0.008363065043377915
2025-09-02,7313.882,-0.025281889341092878
2025-09-03,7206.876,-0.01473861585470182
2025-09-04,7041.154,-0.023263493108622413
2025-09-05,7245.667,0.02863155783611937
2025-09-08,7311.034,0.008981078799841669
2025-09-09,7226.028,-0.011695206212818832
2025-09-10,7230.168,0.0005727648010829256
2025-09-11,7399.885,0.02320218713359523
2025-09-12,7422.884,0.0031032013595329033
2025-09-15,7415.571,-0.0009856822145000166
2025-09-16,7483.628,0.00913572244304639
2025-09-17,7554.813,0.009467142461478062
2025-09-18,7476.402,-0.010433183380108346
2025-09-19,7438.189,-0.005124254981762277
2025-09-22,7489.478,0.006871696940050853
2025-09-23,7408.069,-0.010929290621204402
2025-09-24,7534.222,0.016885763699262313
2025-09-25,7506.512,-0.003684664771144597
2025-09-26,7397.589,-0.01461677417203866
2025-09-29,7497.831,0.013459642404439975
2025-09-30,7574.963,0.010234688179174611
2025-10-09,7648.052,0.009602507994111775
2025-10-10,7533.82,-0.015048757595728546
2025-10-13,7519.764,-0.0018674628028687579
2025-10-14,7373.152,-0.01968945993535165
2025-10-15,7483.449,0.014848487415640932
2025-10-16,7401.838,-0.01096543422315932
2025-10-17,7185.478,-0.02966630294174344
2025-10-20,7239.185,0.007446586194523874
2025-10-21,7344.047,0.014381422079367212
2025-10-22,7312.21,-0.004344499427933357
2025-10-23,7308.099,-0.0005623684298807774
2025-10-24,7419.235,0.015092766911655175
2025-10-27,7495.383,0.010211278849098449
2025-10-28,7479.221,-0.0021585888048303303
2025-10-29,7569.117,0.011947773817951202
2025-10-30,7485.085,-0.011164042143370523
2025-10-31,7506.675,0.002880250874561341
2025-11-03,7538.118,0.004179924014957592
2025-11-04,7435.731,-0.013675654900300316
2025-11-05,7464.863,0.003910184670209205
2025-11-06,7551.83,0.011582839484647778
2025-11-07,7541.878,-0.001318695371896439
2025-11-10,7563.254,0.0028302982416210654
2025-11-11,7540.791,-0.0029744371870403796
2025-11-12,7486.377,-0.007242114791857546
2025-11-13,7590.576,0.01382250896871362
2025-11-14,7502.757,-0.01163692486221457
2025-11-17,7523.076,0.0027045438859030213
2025-11-18,7448.101,-0.010015996309586939
2025-11-19,7387.208,-0.008209244845954089
2025-11-20,7340.412,-0.006354883882957907
2025-11-21,7067.703,-0.03785943864028596
2025-11-24,7156.409,0.012472785647245743
2025-11-25,7249.947,0.012985839646733055
2025-11-26,7248.449,-0.00020664354944166519
2025-11-27,7257.454,0.0012415636802138863
2025-11-28,7334.21,0.010520624373956622
2025-12-01,7386.681,0.0071288106425395625
2025-12-02,7313.178,-0.010000587433653507
2025-12-03,7248.274,-0.00891455465049873
2025-12-04,7248.657,5.2838769818208675e-05
2025-12-05,7342.492,0.012862084214917857
2025-12-08,7423.046,0.010911190528730685
2025-12-09,7380.584,-0.005736716798741881
2025-12-10,7408.244,0.0037406658935896786
2025-12-11,7311.995,-0.013077283822289232
2025-12-12,7370.942,0.008029363157481484
2025-12-15,7309.078,-0.008428376285820605
2025-12-16,7181.62,-0.01759215286464233
2025-12-17,7288.738,0.014805432828843834
2025-12-18,7272.402,-0.0022437813047204713
2025-12-19,7329.806,0.007862413097280196
2025-12-22,7408.349,0.010658558492682602
2025-12-23,7392.42,-0.002152456558171423
2025-12-24,7506.381,0.015298307909992204
2025-12-25,7579.379,0.009677811359678046
2025-12-26,7605.53,0.003444344098939567
2025-12-29,7594.158,-0.0014963467831545785
2025-12-30,7597.299,0.0004135218952026065
2025-12-31,7595.285,-0.0002651293567694779
2026-01-05,7753.88,0.020665703214572062
2026-01-06,7864.903,0.014216840067193814
2026-01-07,7906.42,0.005264884360149935
2026-01-08,7971.589,0.00820875790455311
2026-01-09,8129.183,0.019576580927672893
2026-01-12,8357.011,0.027640400775108986
2026-01-13,8203.133,-0.018584672810677105
2026-01-14,8257.172,0.006566001558983459
2026-01-15,8240.775,-0.0019877631318596656
2026-01-16,8232.729,-0.0009768414345607823
2026-01-19,8265.646,0.003990337675988442
2026-01-20,8182.752,-0.010079364785609002
