eta_fast_fixed,start_id,observation_noise_model,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_epsilon,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_epsilon,log_likelihood,converged,iterations,message
1.3667766037090041,0,constant_log_futures,0.7985600876154897,19.646692686112253,0.09318064292370311,0.05810886575006862,1.3667766037090041,0.0010135172156689135,0.7985600888399742,19.64669255728189,0.09318060458956501,0.058108865794619685,1.3667766037090041,0.0010135172203311904,5720.267010727301,True,1,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1.3667766037090041,3,constant_log_futures,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.005903587112140106,0.7985633723012033,19.646694448275014,0.09318070887814313,0.0581088627985852,1.3667766037090041,0.0010135177871527206,5720.267010726089,True,22,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1.3667766037090041,1,constant_log_futures,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.005903587112140106,0.7985685931698687,19.64670181062691,0.09318084687480274,0.058109140069239854,1.3667766037090041,0.0010135173570000563,5720.267010722754,True,23,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1.3667766037090041,2,constant_log_futures,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.005903587112140106,0.7985699770883044,19.6467189767455,0.09318086808265555,0.058109038015143624,1.3667766037090041,0.0010135179366637266,5720.267010721228,True,24,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2.0,2,constant_log_futures,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.005903587112140106,0.9686801428638944,25.980367729975626,0.09658421642847027,0.06313982988048635,2.0,0.0010167018338575879,5697.606706304691,True,24,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2.0,3,constant_log_futures,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.005903587112140106,0.9686833088148907,25.980424231611835,0.09658426826245052,0.06313990699066396,2.0,0.001016702308915654,5697.606706301931,True,26,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2.0,0,constant_log_futures,0.7985600876154897,19.646692686112253,0.09318064292370311,0.05810886575006862,2.0,0.0010135172156689135,0.9686873863750035,25.980405390039767,0.09658435904041084,0.0631400682718226,2.0,0.0010167021190640067,5697.606706299283,True,20,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2.0,1,constant_log_futures,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.005903587112140106,0.9686878638481641,25.980403332822934,0.09658433151169016,0.06314002526807734,2.0,0.001016702635609108,5697.606706298869,True,34,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.0,3,constant_log_futures,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.005903587112140106,1.1637361317775703,38.4847796068924,0.09945742038731295,0.06992931756743764,3.0,0.0010541487876318954,5643.527123899164,True,31,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.0,2,constant_log_futures,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.005903587112140106,1.16374189241357,38.48476604802719,0.0994575475272499,0.06992955245237528,3.0,0.0010541487317065465,5643.52712389565,True,28,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.0,0,constant_log_futures,0.7985600876154897,19.646692686112253,0.09318064292370311,0.05810886575006862,3.0,0.0010135172156689135,1.1637242479080243,38.4846511578906,0.09945727063860609,0.069928986304167,3.0,0.001054148033229098,5643.52712389555,True,25,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.0,1,constant_log_futures,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.005903587112140106,1.1637273601854057,38.484585899528234,0.09945754255819417,0.06992854176479955,3.0,0.0010541457659805989,5643.527123871518,True,28,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.25,0,constant_log_futures,0.7985600876154897,19.646692686112253,0.09318064292370311,0.05810886575006862,3.25,0.0010135172156689135,1.2035475322326297,42.318592740484526,0.09994826121851785,0.07149646104931674,3.25,0.0010651709670574292,5632.412014843229,True,23,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.25,1,constant_log_futures,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.005903587112140106,1.2035553512588257,42.3186938895269,0.09994840387937903,0.07149666816986987,3.25,0.0010651708530754712,5632.412014838883,True,25,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.25,2,constant_log_futures,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.005903587112140106,1.2035382632774632,42.31860454550723,0.09994812616474938,0.0714964545259599,3.25,0.0010651707909244488,5632.412014837776,True,31,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.25,3,constant_log_futures,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.005903587112140106,1.2035356377466822,42.31841823021046,0.09994806968109148,0.07149600891908249,3.25,0.0010651700347053092,5632.412014830703,True,25,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.5,2,constant_log_futures,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.005903587112140106,1.23929622360752,46.38071709941105,0.10036552904498265,0.07297030986601605,3.5,0.0010757460593300511,5622.676446907509,True,30,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.5,1,constant_log_futures,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.005903587112140106,1.2392986151181724,46.38076913421428,0.10036557437785598,0.07297033840586124,3.5,0.0010757462901390615,5622.676446907133,True,26,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.5,0,constant_log_futures,0.7985600876154897,19.646692686112253,0.09318064292370311,0.05810886575006862,3.5,0.0010135172156689135,1.2392924215645238,46.380735457700716,0.10036546432409009,0.07297018331328198,3.5,0.0010757463729833701,5622.6764469061945,True,26,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.5,3,constant_log_futures,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.005903587112140106,1.2393062964639856,46.3807393589432,0.10036576609913113,0.07297055603423938,3.5,0.0010757447505976806,5622.676446898298,True,30,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.75,2,constant_log_futures,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.005903587112140106,1.2707379662462057,50.59047298680035,0.10071515533084816,0.0743220875991796,3.75,0.0010854622872582566,5614.278533589675,True,30,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.75,1,constant_log_futures,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.005903587112140106,1.2707447668287808,50.59055768125299,0.10071521221630851,0.07432233144180656,3.75,0.0010854619275311686,5614.278533589509,True,40,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.75,3,constant_log_futures,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.005903587112140106,1.2707444783969932,50.5905374518679,0.10071524104992176,0.07432248333302309,3.75,0.001085462627029747,5614.278533588708,True,22,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.75,0,constant_log_futures,0.7985600876154897,19.646692686112253,0.09318064292370311,0.05810886575006862,3.75,0.0010135172156689135,1.2707470511833896,50.590654059507536,0.10071528407979646,0.07432243235665395,3.75,0.0010854625683825595,5614.278533587852,True,26,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4.0,3,constant_log_futures,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.005903587112140106,1.2979412731659195,54.864753297955296,0.1010050606613296,0.07553390036597772,4.0,0.0010940936742794352,5607.102799279687,True,18,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4.0,0,constant_log_futures,0.7985600876154897,19.646692686112253,0.09318064292370311,0.05810886575006862,4.0,0.0010135172156689135,1.2979401321077197,54.86474585853634,0.10100506455894305,0.0755339384948385,4.0,0.0010940940664829026,5607.10279927966,True,29,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4.0,2,constant_log_futures,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.005903587112140106,1.2979378607317384,54.864742742776585,0.10100498274698476,0.07553376425393962,4.0,0.0010940939603450832,5607.10279927844,True,30,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4.0,1,constant_log_futures,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.005903587112140106,1.2979324757539585,54.86458158573337,0.10100497100486144,0.07553356814726186,4.0,0.001094093050281304,5607.102799274283,True,28,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5.0,0,constant_log_futures,0.7985600876154897,19.646692686112253,0.09318064292370311,0.05810886575006862,5.0,0.0010135172156689135,1.3341780694038035,61.33417806940379,0.10136079588684298,0.07617029366878027,5.0,0.0011056382815969993,5580.553985221596,True,25,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5.0,3,constant_log_futures,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.005903587112140106,1.3341711880575746,61.33417118805756,0.10136071453908585,0.07617028929861991,5.0,0.0011056380409474587,5580.553985216735,True,30,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5.0,2,constant_log_futures,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.005903587112140106,0.3499999999999999,7.999999999999999,0.12504725801148872,0.17250708848609433,5.0,0.005903587112140108,3383.5976431600943,True,1,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5.0,1,constant_log_futures,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.005903587112140106,0.15,4.0,0.12504725801148872,0.12321934891863882,5.0,0.005903587112140108,3177.124224906558,True,1,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
