date,contract,expiry,futures_price,volume,hold,price_source,spot,spot_duplicate,risk_free_rate,quality_flags,exclusion_reasons,source_expiry,expiry_source,expiry_calendar_source,sessions_to_expiry,tau,implied_carry,excluded,delta,n_contracts,predicted_slow_state,predicted_fast_state,predicted_instantaneous_carry,predicted_var_slow,predicted_var_fast,predicted_cov_slow_fast,filtered_slow_state,filtered_fast_state,filtered_instantaneous_carry,filtered_var_slow,filtered_var_fast,filtered_cov_slow_fast,filtered_instantaneous_variance,filtered_instantaneous_std,slow_loading,fast_loading,predicted_carry,fitted_carry,predicted_futures_price,fitted_futures_price,carry_residual,carry_prediction_error,futures_residual,futures_prediction_error,observation_noise_model,observation_noise_carry_sd,marginal_prediction_variance,standardized_marginal_prediction_error
2024-08-05,IM2408,2024-08-16,4670.6,107524,95315,close,4678.775,False,0.014,,,2024-08-16,demo_contract_code_inference,chinese_calendar,9.0,0.036885245901639344,0.06141138093555545,False,,4,0.0,0.0,0.09318064292370311,0.002114205512600929,0.04754180040101144,0.0,0.008310809956364462,-0.002951417367917042,0.09854003551215053,1.393562798318853e-05,0.0006181594737483254,-8.274779112502339e-05,0.0004665995194814671,0.021600914783440704,0.9854159991794872,0.711378801739585,0.09318064292370311,0.0992706722702226,4665.130116807508,4664.082295917732,-0.03785929133466715,-0.03176926198814766,6.51770408226821,5.469883192492489,constant_log_futures,0.027477577847023878,0.026866999305830096,-0.19381953355768786
2024-08-05,IM2409,2024-09-20,4625.0,73711,115943,close,4678.775,False,0.014,,,2024-09-20,demo_contract_code_inference,chinese_calendar,32.0,0.13114754098360656,0.10214463831075601,False,,4,0.0,0.0,0.09318064292370311,0.002114205512600929,0.04754180040101144,0.0,0.008310809956364462,-0.002951417367917042,0.09854003551215053,1.393562798318853e-05,0.0006181594737483254,-8.274779112502339e-05,0.0004665995194814671,0.021600914783440704,0.9494165611701999,0.3585979836577762,0.09318064292370311,0.10001269121594612,4630.4403747717615,4626.293329036563,0.002131947094809891,0.008963995387052906,-1.2933290365626817,-5.440374771761526,constant_log_futures,0.007728068769475465,0.008078970201594014,0.09972949530278753
2024-08-05,IM2412,2024-12-20,4523.8,25448,73521,close,4678.775,False,0.014,,,2024-12-20,demo_contract_code_inference,chinese_calendar,92.0,0.3770491803278688,0.10333575956510294,False,,4,0.0,0.0,0.09318064292370311,0.002114205512600929,0.04754180040101144,0.0,0.008310809956364462,-0.002951417367917042,0.09854003551215053,1.393562798318853e-05,0.0006181594737483254,-8.274779112502339e-05,0.0004665995194814671,0.021600914783440704,0.8634894473741932,0.13491152700711292,0.09318064292370311,0.0999587593962152,4541.154736764941,4529.563801311261,0.003377000168887742,0.010155116641399828,-5.763801311260977,-17.354736764940753,constant_log_futures,0.0026880239198175536,0.0024489207758481564,0.2052095406549522
2024-08-05,IM2503,2025-03-21,4442.8,9192,17413,close,4678.775,False,0.014,,,2025-03-21,demo_contract_code_inference,chinese_calendar,150.0,0.6147540983606558,0.09818246475608636,False,,4,0.0,0.0,0.09318064292370311,0.002114205512600929,0.04754180040101144,0.0,0.008310809956364462,-0.002951417367917042,0.09854003551215053,1.393562798318853e-05,0.0006181594737483254,-8.274779112502339e-05,0.0004665995194814671,0.021600914783440704,0.7902250953305802,0.08279548354293396,0.09318064292370311,0.09950368948563185,4456.482148156505,4439.192897125561,-0.0013212247295454893,0.005001821832383249,3.6071028744390787,-13.682148156504809,constant_log_futures,0.0016486546708214325,0.0016488491683826806,0.1231793060488293
2024-08-06,IM2408,2024-08-16,4729.8,88344,84545,close,4749.947,False,0.014,,,2024-08-16,demo_contract_code_inference,chinese_calendar,8.0,0.03278688524590164,0.14364152422237203,False,0.004098360655737705,4,0.008283654904141975,-0.00272308733523993,0.09874121049260515,2.763820641196912e-05,0.007597613400486633,-7.609673051863312e-05,0.0041924183726359315,0.07129849410433936,0.1686715554006784,9.456466714905616e-06,0.0004579942062687137,-5.5939187715873235e-05,0.0003555722975518728,0.01885662476563271,0.9870223591969981,0.7372358715128281,0.09934923786516195,0.14988246103516792,4736.67363421824,4728.832283176905,-0.006240936812795889,0.04429228635721008,0.9677168230955431,-6.873634218240113,constant_log_futures,0.03091227507790186,0.005001177891958906,0.626313752099877
2024-08-06,IM2409,2024-09-20,4683.2,54462,110725,close,4749.947,False,0.014,,,2024-09-20,demo_contract_code_inference,chinese_calendar,31.0,0.12704918032786885,0.12538854337791178,False,0.004098360655737705,4,0.008283654904141975,-0.00272308733523993,0.09874121049260515,2.763820641196912e-05,0.007597613400486633,-7.609673051863312e-05,0.0041924183726359315,0.07129849410433936,0.1686715554006784,9.456466714905616e-06,0.0004579942062687137,-5.5939187715873235e-05,0.0003555722975518728,0.01885662476563271,0.9509447191373236,0.36761160532254333,0.10005690230321188,0.12337755491035163,4698.296523409744,4684.396684411388,0.0020109884675601486,0.0253316410746999,-1.19668441138856,-15.096523409743895,constant_log_futures,0.007977361310426288,0.0010621563764650318,0.7772649705195519
2024-08-06,IM2412,2024-12-20,4584.0,20444,72105,close,4749.947,False,0.014,,,2024-12-20,demo_contract_code_inference,chinese_calendar,91.0,0.3729508196721312,0.1093516624749281,False,0.004098360655737705,4,0.008283654904141975,-0.00272308733523993,0.09874121049260515,2.763820641196912e-05,0.007597613400486633,-7.609673051863312e-05,0.0041924183726359315,0.07129849410433936,0.1686715554006784,9.456466714905616e-06,0.0004579942062687137,-5.5939187715873235e-05,0.0003555722975518728,0.01885662476563271,0.8648330822134468,0.13638713049896387,0.0999732276586933,0.10653058204662626,4600.061506410186,4588.825475653973,0.002821080428301842,0.009378434816234793,-4.825475653972717,-16.061506410185757,constant_log_futures,0.0027175626442111525,0.0001514318457267046,0.7621171879827646
2024-08-06,IM2503,2025-03-21,4504.8,7545,17451,close,4749.947,False,0.014,,,2025-03-21,demo_contract_code_inference,chinese_calendar,149.0,0.610655737704918,0.10077551336936333,False,0.004098360655737705,4,0.008283654904141975,-0.00272308733523993,0.09874121049260515,2.763820641196912e-05,0.007597613400486633,-7.609673051863312e-05,0.0041924183726359315,0.07129849410433936,0.1686715554006784,9.456466714905616e-06,0.0004579942062687137,-5.5939187715873235e-05,0.0003555722975518728,0.01885662476563271,0.7914140766436034,0.08335111820477521,0.09950947164653738,0.10244139104889971,4508.284077969111,4500.219697246846,-0.0016658776795363817,0.0012660417228259474,4.580302753153774,-3.4840779691112402,constant_log_futures,0.0016597194672698988,6.280972657730791e-05,0.15974768263207503
2024-08-07,IM2408,2024-08-16,4719.0,74151,80158,close,4743.41,False,0.014,,,2024-08-16,demo_contract_code_inference,chinese_calendar,7.0,0.028688524590163935,0.1938410224410432,False,0.004098360655737705,4,0.004178719907571132,0.06578264003854792,0.16314200286982217,2.318826808261578e-05,0.007461271222668169,-5.1442935638178764e-05,0.005534392044692376,0.12641911339532846,0.22513414836372397,9.027261961065404e-06,0.0004460896928161068,-5.348019766784322e-05,0.0003481565594414857,0.018658953867821362,0.9886322202135729,0.7644372420185169,0.14759855998734026,0.19529159960073073,4725.264512051953,4718.803623285654,-0.0014505771596875217,0.04624246245370295,0.19637671434611548,-6.264512051952806,constant_log_futures,0.035328314374744985,0.005553098657408736,0.6205449675549909
2024-08-07,IM2409,2024-09-20,4669.0,46027,109681,close,4743.41,False,0.014,,,2024-09-20,demo_contract_code_inference,chinese_calendar,30.0,0.12295081967213115,0.1425991455139082,False,0.004098360655737705,4,0.004178719907571132,0.06578264003854792,0.16314200286982217,2.318826808261578e-05,0.007461271222668169,-5.1442935638178764e-05,0.005534392044692376,0.12641911339532846,0.22513414836372397,9.027261961065404e-06,0.0004460896928161068,-5.348019766784322e-05,0.0003481565594414857,0.018658953867821362,0.9524761865279601,0.37700483979760635,0.1219611477950313,0.14611263714614361,4680.86243869751,4666.983489793444,-0.0035134916322354104,0.020637997718876908,2.016510206555722,-11.862438697509788,constant_log_futures,0.008243273354107163,0.0011125333549903665,0.6187440559820095
