start_id,observation_noise_model,noise_parameter_name,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_epsilon,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_epsilon,log_likelihood,converged,iterations,message
4,constant_log_futures,sigma_log_futures,3.0,25.0,0.12504725801148872,0.3943019165396442,0.8625354424304716,0.005903587112140106,0.7985600876154897,19.646692686112253,0.09318064292370311,0.05810886575006862,1.3667766037090041,0.0010135172156689135,5720.267010727264,True,45,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,constant_log_futures,sigma_log_futures,0.683568151012932,6.521215913045797,0.12084586502265612,0.409608841962221,0.41794834766867295,0.006133358087861022,0.7985622876028238,19.646697974879846,0.09318066568718682,0.058108870330070915,1.3667778994011652,0.001013517285668713,5720.267010726824,True,37,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,constant_log_futures,sigma_log_futures,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.005903587112140106,0.7985531676274839,19.646685648495513,0.09318041019594903,0.058108628454785,1.3667776528454767,0.0010135170302866749,5720.267010725279,True,29,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,constant_log_futures,sigma_log_futures,1.5,18.0,0.12504725801148872,0.32037030718846093,0.7393160935118328,0.005903587112140106,0.798561613142538,19.64670054568919,0.0931806154011005,0.0581089380989593,1.3667801235526484,0.001013516461590898,5720.2670107246795,True,37,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
0,constant_log_futures,sigma_log_futures,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.005903587112140106,0.7985638538722841,19.646713405243933,0.09318054329600683,0.05810916593130878,1.3667786980181318,0.0010135181340228865,5720.267010721421,True,30,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,constant_log_futures,sigma_log_futures,5.0,35.0,0.12504725801148872,0.49287739567455524,0.9857547913491105,0.005903587112140106,0.798552713839755,19.646645863293692,0.09318061572421853,0.05810856402139255,1.3667734745990536,0.001013517239477321,5720.267010721375,True,30,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,constant_log_futures,sigma_log_futures,0.3827375932483699,1.5424571156535538,0.11390447272159922,1.2356453677514723,0.334551791839069,0.0034994350902452153,0.7985769930093226,19.646759245907717,0.09318104879448755,0.0581091594640625,1.366783732525968,0.001013516540090234,5720.267010711309,True,32,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,constant_log_futures,sigma_log_futures,3.6313873516459405,6.903432857363258,0.1018322515229988,0.37357942165157726,0.7929958285376424,0.002985245037651392,0.7985821618766846,19.64674677897564,0.09318148360868969,0.058109608622170905,1.3667803591079177,0.001013520579495023,5720.267010685001,True,38,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,constant_log_futures,sigma_log_futures,1.2776977012389195,41.252021781482064,0.1431700377043657,0.06579949444621595,0.7353726464374377,0.006164493593984575,0.7985172824677141,19.646634454704692,0.09317890877221398,0.0581085251959302,1.3667761197314459,0.0010135173695477227,5720.267010623568,True,33,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,constant_log_futures,sigma_log_futures,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.005903587112140106,0.798629461760808,19.64682275301762,0.09318344135796244,0.05811047147147684,1.3667784437048307,0.001013517199796129,5720.2670104605995,True,53,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,constant_log_futures,sigma_log_futures,2.0683765532731546,9.793361060849696,0.07728766816386423,0.08802999293348511,0.7489793878433945,0.004430217096237481,2.0683765532731546,9.793361060849696,0.07728766816386423,0.08802999293348512,0.7489793878433945,0.004430217096237481,4494.4617623340255,True,1,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,constant_log_futures,sigma_log_futures,1.6719627151010144,32.64543130974995,0.14428470805032168,0.18238704165992373,0.2874693399317251,0.005737599913935445,1.6719627151010144,32.64543130974995,0.14428470805032168,0.18238704165992373,0.2874693399317251,0.005737599913935442,4128.733083940288,True,1,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
