date,delta,n_contracts,predicted_slow_state,predicted_fast_state,predicted_instantaneous_carry,predicted_var_slow,predicted_var_fast,predicted_cov_slow_fast,filtered_slow_state,filtered_fast_state,filtered_instantaneous_carry,filtered_var_slow,filtered_var_fast,filtered_cov_slow_fast,filtered_instantaneous_variance,filtered_instantaneous_std
2024-08-05,,4,0.0,0.0,0.09318069604294658,0.0021142022998579136,0.04754187956299092,0.0,0.008310747496877768,-0.002951416309960875,0.09854002722986348,1.3935627015800901e-05,0.0006181606550524771,-8.27478606755423e-05,0.0004666005607171934,0.021600938885085373
2024-08-06,0.004098360655737705,4,0.00828359259723648,-0.002723086022147653,0.09874120261803541,2.7638210435752044e-05,0.007597636066910574,-7.609678458874453e-05,0.0041923566932643395,0.07129858794788146,0.1686716406840924,9.456466841866745e-06,0.00045799514342378944,-5.593923991110931e-05,0.00035557313044343755,0.018856646850472582
2024-08-07,0.004098360655737705,4,0.004178658403753217,0.06578271848145845,0.16314207292815824,2.3188273248940566e-05,0.007461293715002737,-5.1442976952175916e-05,0.005534333589372082,0.1264192653938599,0.22513429502617854,9.027262479495363e-06,0.0004460906303179529,-5.348025041464332e-05,0.00034815739196816163,0.018658976176847475
2024-08-08,0.004098360655737705,4,0.0055162504658916416,0.11663909742667172,0.21533604393550995,2.2761869106491562e-05,0.007451159889695012,-4.918163517861312e-05,0.005327718665632012,0.025587141984082157,0.12409555669266076,9.160141899152847e-06,0.00045509765925561343,-5.444366630176222e-05,0.00035537046855124184,0.018851272332424722
2024-08-09,0.004098360655737705,3,0.0053103106447847164,0.023607645064645303,0.12209865175237661,2.289388159274664e-05,0.007458827205189933,-5.00676139898228e-05,0.006010571111631219,0.1290889076874299,0.2282801748420077,1.0011258853014862e-05,0.0005173879260422206,-6.155148369830081e-05,0.0004042962174986338,0.020107118577723508
2024-08-12,0.004098360655737705,3,0.005990931908853793,0.11910220830303976,0.21827383625484015,2.3739445679817386e-05,0.007511852362655428,-5.660412194186941e-05,0.005129617437660144,0.043681740533744115,0.14199205401435083,1.0241143729568651e-05,0.0005230367130778244,-6.265300520302665e-05,0.0004079718464013397,0.020198312959287954
2024-08-13,0.004098360655737705,3,0.0051128567014243,0.04030239199704633,0.1385959447414172,2.3967830738877187e-05,0.007516660944116124,-5.7617105769858184e-05,0.003948595473495827,0.08570412096973731,0.18283341248617974,1.0341870170981691e-05,0.0005235775806492378,-6.293570997442804e-05,0.0004080480308713634,0.020200198782966552
2024-08-14,0.004098360655737705,3,0.0039356936600491894,0.07907379689727236,0.17619018660026814,2.4067900019709668e-05,0.007517121362567059,-5.787708740462086e-05,0.007123743864302782,0.10495265437952984,0.2052570942867792,1.0424480413293542e-05,0.0005236702221361458,-6.311894553804947e-05,0.0004078568114733404,0.02019546512149053
2024-08-15,0.004098360655737705,3,0.00710046743221553,0.09683320687889674,0.19711437035405885,2.414997129535064e-05,0.007517200224477346,-5.8045594929770925e-05,0.009069144648085939,0.08637565912489949,0.18862549981593202,1.0512025160243245e-05,0.0005242429123992432,-6.334884604388644e-05,0.0004080572454717136,0.020200426863601514
2024-08-16,0.004098360655737705,3,0.009039511728442595,0.07969338287621044,0.18191359064759963,2.4236944881878875e-05,0.0075176877322846855,-5.8257016580151905e-05,0.010114274603757452,0.06418194947756405,0.16747692012426807,1.06100802803561e-05,0.0005255313935653974,-6.366151686289478e-05,0.00040881844011996394,0.02021925913875095
