eta_fast_fixed,kappa_slow,kappa_fast,kappa_fast_minus_slow,kappa_fast_minus_slow_at_upper_bound,theta,eta_slow,observation_noise_model,sigma_log_futures,log_likelihood,converged,carry_rmse_bps,futures_rmse_points,latest_slow_state,latest_fast_state,latest_instantaneous_carry,option_price,normalized_option_price,model_initial_carry,model_initial_futures,initial_futures_model_error,log_likelihood_below_profile_max,likelihood_ratio_vs_profile_max,relative_likelihood,log_likelihood_difference_from_cap6_fit,option_price_difference_from_cap6_fit
1.3667772804789373,0.798557270165834,19.646690050369628,18.848132780203795,False,0.09318053400744973,0.058108812222685165,constant_log_futures,0.0010135176462400895,5720.267010727389,True,124.06485140100757,5.367132417039503,0.03496308260957665,0.06992816819337355,0.19807178481039994,38.2746787713516,0.00494894927156436,0.15251519641783165,7607.620113386784,0.4201133867845783,0.0,0.0,1.0,3.092281986027956e-11,6.86198028176932e-07
2.0,0.9686812070012738,25.98036400808696,25.011682801085684,False,0.09658422526937732,0.0631398603216841,constant_log_futures,0.0010167021519944472,5697.606706304263,True,112.26348090982609,5.3291266352122495,0.03244145876125064,0.08727121921601164,0.21629690324663958,46.30006803394292,0.005986639086869874,0.15258318450576416,7607.558639869533,0.3586398695333628,-22.660304423126036,45.32060884625207,1.4413014740290754e-10,-22.660304423095113,8.025389948789346
3.0,1.163729678200543,38.48469791354376,37.320968235343216,False,0.09945739316656882,0.06992918272559154,constant_log_futures,0.0010541489310729143,5643.527123900008,True,107.52942125598317,5.476258423890063,0.030678195185878332,0.11871139265482633,0.24884698100727348,49.73551517667109,0.00643084539193306,0.15172828076664066,7608.3316634834555,1.131663483455668,-76.73988682738127,153.47977365476254,4.702086443765706e-34,-76.73988682735035,11.460837091517519
3.25,1.2035472572951096,42.318578967921226,41.11503171062612,False,0.09994820526542629,0.07149647530841684,constant_log_futures,0.0010651715133544227,5632.412014842776,True,107.85511090240855,5.525453136652428,0.030434060627687914,0.12789334777416783,0.258275613667282,49.181559500394094,0.006359218440941064,0.15147920560608427,7608.556897745499,1.3568977454988271,-87.85499588461244,175.70999176922487,6.999388178439333e-39,-87.85499588458151,10.90688141524052
3.5,1.239299740539606,46.38076316723588,45.14146342669627,False,0.10036558171879066,0.0729703907402098,constant_log_futures,0.0010757463561836703,5622.676446906967,True,108.43064741801074,5.573282581527969,0.03024624767877605,0.1374724012770608,0.2680842306746275,48.33226101372492,0.006249403407559565,0.15123962514173867,7608.773552413035,1.5735524130350313,-97.59056382042218,195.18112764084435,4.139583497558507e-43,-97.59056382039125,10.057582928571343
3.75,1.2707398439458055,50.59054123435439,49.319801390408585,False,0.10071519530344798,0.07432223086121367,constant_log_futures,0.0010854624201266352,5614.278533590317,True,109.09903747773065,5.617485827075559,0.030105340402569156,0.14728509549159452,0.27810563119761167,47.34261154039888,0.006121440869470627,0.15101690767575152,7608.974963259819,1.7749632598188327,-105.98847713707164,211.97695427414328,9.32801496250057e-47,-105.98847713704072,9.067933455245303
4.0,1.297942642634089,54.86480100492072,53.56685836228663,False,0.10100511327846139,0.07553405095275224,constant_log_futures,0.0010940941166138734,5607.102799278958,True,109.75187174154665,5.656817193238954,0.030001071686335527,0.1571758768853006,0.28818206185009754,46.33405184907897,0.005991033223739507,0.15081539636169725,7609.157201269006,1.9572012690059637,-113.16421144843116,226.32842289686232,7.13522083410991e-50,-113.16421144840024,8.059373763925393
5.0,1.3723449954518434,71.52269830289602,70.15035330744418,False,0.10174139690340546,0.079005867230087,constant_log_futures,0.0011180866509253491,5587.561275504548,True,111.51520148175925,5.765937279451102,0.029789952128936446,0.19572047217811428,0.3272518212104562,43.130121379980814,0.005576762226041301,0.15022273555867446,7609.69320304532,2.493203045320115,-132.7057352228412,265.4114704456824,2.3261165744047976e-58,-132.7057352228103,4.855443294827239
6.0,1.4128178363162929,86.64329776895194,85.23047993263565,False,0.10210842481857547,0.0808818173880063,constant_log_futures,0.0011307380921319735,5576.663052981445,True,112.16852199269533,5.8234725136122645,0.02970395983584674,0.23150867831236271,0.3633210629667849,41.37909374820611,0.005350352829517593,0.1498709876778824,7610.0113412948085,2.811341294808699,-143.60395774594417,287.20791549188834,4.301238965377303e-63,-143.60395774591325,3.104415663052535
8.0,1.416102224549573,91.41610222454958,90.0,True,0.10210194060713136,0.07924352596841804,constant_log_futures,0.0011350183249902385,5544.99685361543,True,114.16724799799094,5.85765268015926,0.029477767214267318,0.2515273175166905,0.38310702533808916,53.38896109300282,0.006903239128124597,0.14906869412864324,7610.737025184918,3.537025184918093,-175.27015711195872,350.54031422391745,7.605677809641763e-77,-175.2701571119278,15.114283007849245
10.0,1.415052987670046,91.41505298767005,90.0,True,0.1020742120932634,0.07828205883344552,constant_log_futures,0.001137390894090844,5489.816416602854,True,115.46111607850673,5.877639352745468,0.029337579364879074,0.25667460457372665,0.3880863960318691,68.26956195850838,0.008827313769056799,0.14753123966234205,7612.127864088432,4.927864088432216,-230.4505941245352,460.9011882490704,8.252368646978334e-101,-230.45059412450428,29.9948838733548
