elapsed_sessions,remaining_sessions,exercise_grid_fraction,maximum_normalized_exercise_value,maximum_normalized_continuation_value
1,28,0.3699886496383626,0.07827302262557367,0.07204613253049394
2,27,0.3726812536764401,0.07707846597267565,0.0708535037285565
3,26,0.375473276940539,0.07583292261570851,0.0696100848238148
4,25,0.37821559059162724,0.0745323259760019,0.06831182533266522
5,24,0.3810076138557261,0.07317225296542318,0.06695431974405151
6,23,0.3838162069908286,0.0717478915697356,0.06553277524879816
7,22,0.3866745097389417,0.07025400531039416,0.06404197636322247
8,21,0.38946653300304057,0.06868489425470237,0.06247624611890093
9,20,0.392424254977175,0.06703435220449439,0.060829403450992636
10,19,0.3953654070803059,0.0652956196481993,0.05909471637253964
11,18,0.3983976934739563,0.06346133200941628,0.05726485047080971
12,17,0.4014796894806174,0.06152346266592168,0.055331812202983145
13,16,0.4045865402937838,0.05947326014512877,0.05328688640110104
14,15,0.4077845253974698,0.057301178823971566,0.05112056731874996
15,14,0.41112335440468595,0.05499680237126825,0.048822482462748375
16,13,0.4144787532829057,0.05254875906679157,0.046381308350114135
17,12,0.4179584261936521,0.049944628011115655,0.043784677211422506
18,11,0.4215706580724269,0.04717083510092068,0.041019073523440794
19,10,0.42532373385473193,0.044212537482360426,0.03806971909324456
20,9,0.4292590782180761,0.04105349500620392,0.034920445228765216
21,8,0.43331869661394684,0.03767592698776612,0.031553550311996345
22,7,0.4376434329458745,0.03406035231618143,0.02794964083496288
23,6,0.44232442150437856,0.030185410654122058,0.024087453657922756
24,5,0.4473865170959644,0.026027662111909655,0.019943656895486286
25,4,0.4529291389466533,0.0215613623585309,0.015492626418968734
26,3,0.45918426525049505,0.016758209633497168,0.010706194469618232
27,2,0.466582712653582,0.011587059532093047,0.005553366291918153
28,1,0.47626780225515947,0.006013602733198953,0.0
