fixed_kappa_gap,start_id,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_epsilon,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_epsilon,log_likelihood,converged,iterations,message
40.0,0,3.680507621203142,43.68050762120314,0.11300368044434578,0.1473350818920664,1.8719856814965452,0.007709304510834229,2.4809773212438975,42.4809773212439,0.10952492961407914,0.10818069314171269,2.81424110984195,0.00605784794525809,5313.455175537855,True,25,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
40.0,3,0.75,40.75,0.12589165195241137,0.24851274332348322,0.6212818583087081,0.028258634675425377,2.4809720986820154,42.48097209868202,0.10952491437150788,0.10818067960981685,2.814239101201152,0.006057851294936016,5313.455175537511,True,36,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
40.0,2,0.35,40.35,0.12589165195241137,0.17395892032643825,0.49702548664696644,0.028258634675425377,2.4809671619607805,42.48096716196078,0.10952488942244598,0.10818029439498912,2.8142402893218907,0.00605785033227468,5313.455175536082,True,24,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
40.0,1,0.15,40.15,0.12589165195241137,0.12425637166174161,0.3727691149852248,0.028258634675425377,2.4809639064503197,42.48096390645032,0.1095249871362627,0.1081818247486382,2.8142501306173715,0.00605785156547038,5313.455175502221,True,33,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
