start_id,kappa_gap_upper_bound,eta_fast_upper_bound,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_epsilon,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_epsilon,estimate_kappa_gap,log_likelihood,converged,iterations,message
11,90.0,6.0,0.683568151012932,6.521215913045797,0.12169025896357877,0.4130561389055874,0.42146583048105846,0.029358476845715572,2.6790461213276235,72.35899187933902,0.10979019070608854,0.11989437517151172,4.50687672557104,0.005868082232429606,69.67994575801139,5351.226209913382,True,33,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
0,90.0,6.0,0.15,4.0,0.12589165195241137,0.12425637166174164,0.3727691149852248,0.02825863467542537,2.6790520498523342,72.35886263887787,0.10979022427271971,0.11989473001913489,4.50686724935717,0.0058680855687148125,69.67981058902554,5351.226209912595,True,53,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
3,90.0,6.0,1.5,18.0,0.12589165195241137,0.3230665663205282,0.7455382299704496,0.02825863467542537,2.67904007449588,72.35872795794896,0.1097901880687895,0.11989421209881439,4.506860152241218,0.005868080803963284,69.67968788345308,5351.226209912016,True,46,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
10,90.0,6.0,3.6313873516459405,6.903432857363258,0.10267664546392144,0.3767234924489622,0.7996697374374709,0.014289439172014902,2.6790550659642016,72.35896646680403,0.10979025192947556,0.11989479269489153,4.5068722961924115,0.005868087013722931,69.67991140083983,5351.2262099114805,True,40,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
6,90.0,6.0,1.2776977012389195,41.252021781482064,0.14401443164528835,0.06635326763869118,0.7415615945669629,0.029507512826089367,2.6790536498288584,72.35930390872782,0.10979020302613585,0.11989460434831464,4.506887681473431,0.005868086390334175,69.68025025889897,5351.226209910157,True,40,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
5,90.0,6.0,4.999999999999999,35.0,0.12589165195241137,0.49702548664696644,0.9940509732939329,0.02825863467542537,2.67904219023101,72.35839331719181,0.10979018890608183,0.11989427634331831,4.506832859827699,0.005868082086024608,69.6793511269608,5351.22620990999,True,40,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
9,90.0,6.0,2.0683765532731546,9.793361060849696,0.07813206210478688,0.08877085957130092,0.7552828512695945,0.021206070830725073,2.679039637061075,72.35888482569973,0.10979013954030656,0.11989445722137468,4.506871859279633,0.005868075896158275,69.67984518863865,5351.22620990911,True,36,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
4,90.0,6.0,3.0000000000000004,25.000000000000004,0.12589165195241137,0.39762038931757315,0.8697946016321912,0.02825863467542537,2.67906342081415,72.35907199434841,0.10979026638113412,0.11989464101866328,4.506889423614042,0.00586809367284671,69.68000857353427,5351.226209902061,True,31,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
8,90.0,6.0,1.6719627151010144,32.64543130974995,0.14512910199124435,0.18392202388396925,0.28988870219966556,0.027464105602547417,2.67905933478172,72.35981221636028,0.10979034737584961,0.11989510948883352,4.506936246278278,0.005868092255091415,69.68075288157856,5351.226209896265,True,33,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1,90.0,6.0,0.3499999999999999,7.999999999999999,0.12589165195241137,0.17395892032643825,0.49702548664696644,0.02825863467542537,2.679030755711005,72.3583965586954,0.10979004265426352,0.11989344732643314,4.506850069698608,0.00586808116108875,69.67936580298439,5351.226209895481,True,34,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
7,90.0,6.0,0.3827375932483699,1.5424571156535538,0.11474886666252186,1.2460446464362995,0.33736740334755044,0.016750706969708033,2.679056106311344,72.36052505689841,0.1097903191097826,0.11989516142740927,4.506966771778392,0.005868080935772014,69.68146895058706,5351.226209887823,True,37,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,90.0,6.0,0.75,12.000000000000002,0.12589165195241137,0.24851274332348322,0.6212818583087081,0.02825863467542537,2.679062828279254,72.35855956667288,0.10979025856573993,0.11989602127899095,4.5068630618318615,0.005868097240354403,69.67949673839362,5351.226209873895,True,32,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
