scenario,completed_cohorts,sum_cohort_pnl,mean_cohort_pnl,median_cohort_pnl,std_cohort_pnl,worst_cohort_pnl,fifth_percentile_cohort_pnl,mean_pnl_below_fifth_percentile,daily_discounted_pnl_variance,pooled_daily_discounted_pnl_std,mean_cohort_daily_discounted_pnl_std,total_costs,total_turnover_contracts,spot_pnl,total_futures_costs,total_spot_costs,spot_turnover_notional,peak_borrowing,peak_spot_notional,variance_reduction_vs_no_hedge
short_no_hedge,1,19.05774588417869,19.05774588417869,19.05774588417869,,19.05774588417869,19.05774588417869,19.05774588417869,11.446258575475014,3.3832319718687653,3.3832319718687653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_one_futures_spot,1,-10.008923833270387,-10.008923833270387,-10.008923833270387,,-10.008923833270387,-10.008923833270387,-10.008923833270387,8.868553729362443,2.9780117073917696,2.9780117073917696,0.0,1.101633474749204,185.64595182315358,0.0,0.0,8532.283542440438,2252.1300271147034,2278.6591038891925,0.2252006478025591
short_two_futures_spot,1,-10.073117780436519,-10.073117780436519,-10.073117780436519,,-10.073117780436519,-10.073117780436519,-10.073117780436519,8.648077701487464,2.9407614152609294,2.9407614152609294,0.0,1.0896862076521219,182.30049514090487,0.0,0.0,8410.448773693864,2201.176663142195,2227.7057399166843,0.2444624901260739
short_one_futures_only,1,-194.46279391291543,-194.46279391291543,-194.46279391291543,,-194.46279391291543,-194.46279391291543,-194.46279391291543,276.6618240480949,16.633154362540346,16.633154362540346,0.0,1.101633474749204,0.0,0.0,0.0,0.0,194.46279391291543,0.0,-23.170502721376238
short_two_futures_only,1,-191.20574163911166,-191.20574163911166,-191.20574163911166,,-191.20574163911166,-191.20574163911166,-191.20574163911166,268.64530033760747,16.390402689916055,16.390402689916055,0.0,1.0896862076521219,0.0,0.0,0.0,0.0,191.20574163911166,0.0,-22.47014079458351
