scenario,mean_factor_variance,mean_unhedged_factor_variance,rms_scale_exposure,max_abs_scale_exposure,max_abs_slow_factor_exposure,max_abs_fast_factor_exposure,max_abs_spot_delta,peak_spot_notional,peak_borrowing,factor_variance_reduction
short_no_hedge,43.62421271414407,43.62421271414407,19.737801084562804,48.99670745392068,389.7352666228525,185.57860848241995,0.0072753643815974,0.0,48.77437062780744,0.0
short_one_futures_only,0.009886068313864382,43.62421271414407,2015.829257918212,4713.348223891058,83.30464472514768,0.3116666208730407,0.6329097091208614,0.0,232.18436131557297,0.9997733811638356
short_one_futures_spot,0.009886068313864382,43.62421271414407,6.928637506235238e-14,4.547473508864641e-13,83.30464472514768,0.3116666208730407,7.343850039024196e-17,4713.348223891058,4669.808213243689,0.9997733811638356
short_two_futures_only,8.679463670625725e-31,43.62421271414407,1984.4895031001683,4671.739515217189,5.684341886080803e-14,4.263256414560601e-14,0.6273224801590401,0.0,229.08764145394107,1.0
short_two_futures_spot,8.679463670625725e-31,43.62421271414407,7.051277779572702e-14,4.547473508864641e-13,5.684341886080803e-14,4.263256414560601e-14,1.0137018307962164e-16,4671.739515217189,4627.937441811415,1.0
